round,lr,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,9.999999999999999e-05,0.33754045307443364,0.3050183741348588,0.3300970873786408,0.2899029126213592,0.3010355987055016,0.3346278317152104,1.368784974254065,0.3220243784721109,0.34616181229773463,0.7140146520146521,0.7035379619726128,0.7604395604395604,0.7501921811911622,0.8074322487514078,0.7523073593073594,1.0598642259465032,0.7313853472642585,0.707889447959448,0.45826927146927143,0.3988867174464018,0.4799023199023199,0.3941915227629513,0.400007326007326,0.4497435897435897,1.2936589760204036,0.43763428657395187,0.43448351648351646
2,9.997507884796767e-05,0.4046925566343042,0.3671521942253563,0.39805825242718446,0.3414609338881184,0.36220064724919093,0.3818770226537217,1.2380466917224686,0.37914075620767884,0.39973354908306363,0.7908278388278389,0.7868725318098757,0.8681318681318682,0.86893248049442,0.892481222863899,0.8675180375180374,0.8511454173773346,0.8097757066591555,0.7870077256077256,0.46224810744810746,0.4100988958468384,0.5012210012210012,0.4151355311355311,0.42282051282051275,0.47347985347985344,1.385917503572848,0.43981279547930924,0.4424371184371184
3,9.99003404853583e-05,0.48100323624595465,0.4578480141508487,0.4854368932038835,0.45708737864077675,0.4875404530744337,0.49352750809061485,1.1867143434884093,0.4735940389492078,0.4815080906148867,0.8424175824175825,0.8389009829280594,0.9120879120879121,0.9085129712823381,0.9269221285430075,0.9174887334887334,0.702087451241392,0.8496384217583698,0.8464691242091242,0.46060537240537236,0.41346051361289027,0.5108669108669108,0.4368393511250654,0.4489743589743589,0.4962637362637362,1.5591371354729848,0.4353057785442828,0.44621782661782655
4,9.97758601673677e-05,0.5068932038834951,0.4829055697911214,0.5145631067961165,0.48114655570966247,0.5145954692556635,0.5042071197411003,1.1433195903607942,0.502212943825872,0.5039795037756203,0.8846153846153846,0.881450785775053,0.9516483516483516,0.9499979868772438,0.9583009469163315,0.9497271617271615,0.6218750909745913,0.8881100996531908,0.8837632008732008,0.49190850630850635,0.45666786060352577,0.5223443223443224,0.44988801674515955,0.4699633699633699,0.5134065934065934,1.5921463581064046,0.4998621406170607,0.4824681318681319
5,9.960176323512439e-05,0.5298058252427185,0.5067625030550228,0.5339805825242718,0.5074803513638465,0.5365695792880258,0.5378640776699029,1.1173139910559051,0.5336504318351665,0.5298673139158576,0.8958315018315018,0.8962941130357744,0.967032967032967,0.9684726009501977,0.9724283335711907,0.9703638583638583,0.5524856201196329,0.8994495236399785,0.8977394287194288,0.4642310948310949,0.4256198536476808,0.5099877899877899,0.45336891679748814,0.4866227106227106,0.4867399267399267,1.82819871014001,0.4604910492878785,0.443863492063492
6,9.937822498948151e-05,0.5547896440129451,0.5219639216020743,0.5922330097087378,0.5279519186315302,0.553915857605178,0.5631067961165048,1.1179292657190156,0.5537670258669515,0.5409007551240561,0.923794871794872,0.9224888834340463,0.9846153846153847,0.9846551107745269,0.9877455877455877,0.9837484737484737,0.5055825581218734,0.9267567859430692,0.9215156210456211,0.4942829466829467,0.43992073329144415,0.551062271062271,0.4633908948194662,0.471062271062271,0.5301098901098901,1.7282007953513947,0.4726351289013501,0.4756021978021978
7,9.9105470514504e-05,0.5367961165048545,0.5120121197966052,0.5922330097087378,0.5698751733703189,0.5938511326860841,0.6129449838187703,1.1899922906614624,0.5450301447487363,0.5391672060409926,0.9245641025641025,0.9229318744713007,0.9824175824175824,0.9829838730883198,0.9831485340056769,0.9843778443778443,0.4613942605569977,0.9242930707032944,0.9258532563732563,0.46167724867724874,0.4174899565359054,0.4884493284493285,0.41700261643118786,0.4391941391941392,0.46967032967032973,1.8524186363779334,0.4532208684108301,0.4488727716727717
8,9.878377445082767e-05,0.5429449838187702,0.5122481393762923,0.6310679611650486,0.5839343504392047,0.6000647249190938,0.6220064724919093,1.155443718050242,0.5422293943052957,0.5341920172599784,0.9415750915750917,0.9408179625512134,0.9912087912087912,0.9913345493912294,0.991357214214357,0.9922277722277721,0.4378099919573583,0.9420906159025861,0.9414832526732525,0.47179039479039475,0.42478349360137907,0.48009768009768006,0.42009000523286233,0.4596996336996337,0.45003663003663,1.881752454457275,0.470393709568107,0.4472007326007326
9,9.841346071911963e-05,0.5480906148867314,0.5173732353117702,0.5825242718446602,0.5321544151641239,0.5550809061488672,0.5653721682847896,1.134983188424585,0.5607941341792197,0.5401078748651564,0.9467252747252747,0.946204664527272,0.9978021978021978,0.9978213091256569,0.9983516483516484,0.9975274725274725,0.4132608187737191,0.9471972953069773,0.9468149802049802,0.4824022792022792,0.44343343969675697,0.5233943833943834,0.45558241758241763,0.4835164835164835,0.5001465201465202,1.8253788732481884,0.4616886424775582,0.4704781440781441
10,9.799490219391763e-05,0.5596440129449838,0.5258200142463909,0.6019417475728155,0.5331067961165048,0.5437540453074434,0.5702265372168285,1.111927800597804,0.5580675830867143,0.5480129449838187,0.9488131868131866,0.9478507049812185,0.9868131868131869,0.9865025216520027,0.9878269349697921,0.9864713064713063,0.3833444698920907,0.9506555490716022,0.9471358038258038,0.49317419617419617,0.43963382671084605,0.5416605616605616,0.47116692830978546,0.5047985347985348,0.5104761904761904,1.905368832329294,0.46578954735421707,0.46724664224664225
11,9.75285203281768e-05,0.5556957928802588,0.5278608884857839,0.6407766990291263,0.617457235321313,0.6545631067961165,0.6440129449838187,1.1040077735460438,0.5666365911105297,0.5493678532901834,0.9454212454212456,0.9439034828401908,0.9912087912087912,0.9905890174648042,0.9917195185766616,0.9907070707070705,0.3713153794600705,0.9437243249784163,0.9459480275280275,0.4933752543752543,0.45304973352286093,0.5200976800976802,0.46959497645211923,0.5047252747252747,0.51003663003663,1.9876742454730791,0.48838955463725586,0.483152380952381
12,9.701478472890247e-05,0.5505825242718446,0.5155364064946132,0.6116504854368932,0.5457420249653259,0.5671521035598706,0.5870550161812297,1.138573640949416,0.5575288194131979,0.5359158576051779,0.952080586080586,0.9512159225059703,0.9956043956043956,0.9953341896199039,0.9963636363636363,0.9948651348651348,0.3522270798734111,0.9516075666328947,0.9520034891034891,0.48510256410256414,0.44043807930746115,0.5113064713064712,0.4472506541077969,0.46657875457875464,0.49025641025641026,2.0588774676656287,0.48263686831500374,0.46942954822954824
13,9.645421268429561e-05,0.5450485436893204,0.5114381157608779,0.5922330097087378,0.5390198797965787,0.5707119741100324,0.5728155339805825,1.2030354918226351,0.5395357808172255,0.5358845738942827,0.9560659340659339,0.9542797714673603,0.9978021978021978,0.9978716020821284,0.997978021978022,0.997978021978022,0.3364285589865567,0.9542805161876313,0.9558630539830539,0.48368945868945873,0.43866276872664256,0.4983394383394383,0.43569230769230766,0.4528058608058608,0.4839560439560439,2.073221173941081,0.48507403922705944,0.47157680097680105
14,9.584736864288743e-05,0.5624271844660195,0.5242217153470803,0.6116504854368932,0.5379056865464632,0.5670550161812298,0.5744336569579288,1.144947017345888,0.5682464903071062,0.5432934196332255,0.9593040293040294,0.9588378793909067,0.9978021978021978,0.9979314802844215,0.9983150183150183,0.9977533577533577,0.32709318106136626,0.9603020189803309,0.9583576775076776,0.5280546194546194,0.4791680000761365,0.5851770451770452,0.5339843014128728,0.5723003663003663,0.5641758241758241,2.01754348729148,0.50497115329316,0.5067958485958486
15,9.519486364518777e-05,0.5555987055016182,0.5262978396080078,0.6019417475728155,0.5562921867776236,0.5794822006472492,0.5828478964401295,1.1677209201836896,0.5635740787284292,0.545571736785329,0.9673846153846154,0.9664042300066937,0.9978021978021978,0.9979729543639319,0.997978021978022,0.9981618381618382,0.3185181855391233,0.9661613025769366,0.9671854538054536,0.49794603174603175,0.45424817448866,0.4992185592185592,0.43701098901098895,0.4477069597069597,0.4938461538461539,2.108097724337899,0.48298510318287835,0.4875953601953602
16,9.449735470841871e-05,0.5655339805825242,0.5346715608525978,0.6310679611650486,0.5881645862228386,0.6089320388349514,0.6226537216828478,1.122428981203512,0.5682956483655917,0.555705501618123,0.9684615384615385,0.9677597029128103,1.0,1.0,1.0,1.0,0.3047921953554992,0.9671877699124228,0.9690125937025937,0.5005265771265771,0.459589991137317,0.5239072039072039,0.4704133961276818,0.4963003663003663,0.5006593406593406,2.0441318423843375,0.49390387137368197,0.481283028083028
17,9.375554416495435e-05,0.5626537216828479,0.5334071167131004,0.6019417475728155,0.5589459084604715,0.5971197411003236,0.5883495145631067,1.153831694569581,0.573000312010911,0.5530043149946063,0.9698241758241758,0.968983851990204,1.0,1.0,1.0,1.0,0.29178817159526943,0.9693475219329276,0.9691443149443147,0.5220185592185592,0.47096774322513685,0.535091575091575,0.4669304029304029,0.4984908424908424,0.4961904761904762,2.1061368052521994,0.4950323687706875,0.4951543345543346
18,9.297017895513137e-05,0.5560194174757283,0.5265145946307815,0.6310679611650486,0.5909570041608876,0.6126537216828477,0.6265372168284788,1.1769541775130496,0.5680557529039348,0.5478489751887811,0.9654945054945054,0.9645413999223664,0.9956043956043956,0.9958192183756094,0.9962237762237761,0.996043956043956,0.28481640318301715,0.9646668063602889,0.965777826247826,0.5127894993894994,0.4680922490599417,0.5302075702075701,0.4593260073260073,0.45978021978021977,0.5168498168498168,2.1750673836999175,0.5152326815959414,0.5024925518925519
19,9.214204987514348e-05,0.5459223300970875,0.51128604715205,0.5825242718446602,0.5230836800739713,0.5550809061488673,0.5524271844660195,1.2069852425582543,0.5568222954970061,0.5302815533980583,0.9590036630036629,0.9581358162541671,0.9956043956043956,0.9958647750598215,0.9963636363636365,0.9957753357753358,0.2805531889706013,0.958752247523401,0.9591348000147999,0.512591452991453,0.47703611320162004,0.5744322344322345,0.5145201465201465,0.5460512820512821,0.5566300366300366,2.160254917890569,0.5050424042139905,0.4948056166056166
20,9.127199078077672e-05,0.5621035598705502,0.5234622226991943,0.6310679611650486,0.567004160887656,0.6057281553398057,0.5967637540453073,1.183901270366851,0.5678293151583961,0.5419320388349513,0.9740219780219779,0.9728885601295026,0.9978021978021978,0.9972552334543284,0.9971114599686028,0.9977533577533577,0.26902139563773,0.9727766915913799,0.9735846793946794,0.523799185999186,0.48396394783963437,0.5416849816849816,0.4698461538461538,0.48268864468864475,0.524029304029304,2.0145836400256254,0.5311221921691571,0.504676923076923
21,9.036087774778741e-05,0.5754045307443365,0.5429007446866447,0.6310679611650486,0.5698705501618122,0.5984466019417475,0.6077669902912621,1.1285976244198628,0.5867736635270735,0.5598425026968716,0.9743809523809525,0.974009594107155,1.0,1.0,1.0,1.0,0.2633937720945321,0.9741498561351858,0.9742562999963001,0.5113118437118437,0.4641092295347337,0.562124542124542,0.49570905285190997,0.5076556776556777,0.5444688644688643,2.2227117126137275,0.4963252883729245,0.49542002442002453
22,8.940962818976798e-05,0.5634304207119741,0.531350179902639,0.6019417475728155,0.5668608414239482,0.605695792880259,0.5896440129449838,1.1809749257211135,0.5712193706770613,0.5501111111111111,0.9746080586080588,0.9739798097293432,1.0,1.0,1.0,1.0,0.25253330223726267,0.9744352409249549,0.9742658467458467,0.4936055352055352,0.44904871497908555,0.5331379731379731,0.4734589220303506,0.5005128205128205,0.5008791208791208,2.2258223331248774,0.4694080499588624,0.47141978021978026
23,8.84191999343894e-05,0.5692556634304207,0.5386185079130327,0.6019417475728155,0.5454553860379103,0.5841747572815533,0.5702265372168285,1.1793637142647782,0.5823338986197822,0.5563408845738943,0.9798461538461537,0.9793175893925836,1.0,1.0,1.0,1.0,0.24468141620448805,0.9794370785821386,0.9794834095534095,0.5061945461945462,0.46846134741002804,0.5535531135531135,0.5066038723181581,0.5501465201465201,0.5435897435897435,2.2848775246162263,0.48993494186663067,0.49226984126984125
