2026-09-04 23:39:23,723 | INFO | src.trainer.client.client_7 | Round 1 learning rate set to 0.0001
2026-09-04 23:39:23,724 | INFO | src.trainer.client.client_7 | Starting local training for round 1
2026-09-04 23:39:50,326 | INFO | src.trainer.client.client_7 | Round 1 local epoch 1/3: train_loss=1.507706
2026-09-04 23:40:13,202 | INFO | src.trainer.client.client_7 | Round 1 local epoch 2/3: train_loss=1.235827
2026-09-04 23:40:38,216 | INFO | src.trainer.client.client_7 | Round 1 local epoch 3/3: train_loss=1.092375
2026-09-04 23:41:02,889 | INFO | src.trainer.client.client_7 | Round 1 local fit metrics: {'train_loss': 1.092375394915357, 'lr': 0.0001, 'train_accuracy': 0.6817777777777778, 'train_precision': 0.680071966797908, 'train_recall': 0.6916, 'train_f1': 0.6765775686829251, 'train_image_accuracy': 0.7111111111111111, 'train_image_precision': 0.70503663003663, 'train_image_recall': 0.7177777777777778, 'train_image_f1': 0.7050553789549616, 'val_loss': 1.0305024478170606, 'val_accuracy': 0.5903703703703703, 'val_precision': 0.7127273319444539, 'val_recall': 0.6193333333333333, 'val_f1': 0.5896778644069666, 'val_image_accuracy': 0.6666666666666666, 'val_image_precision': 0.5666666666666667, 'val_image_recall': 0.7, 'val_image_f1': 0.6133333333333333}
2026-09-04 23:41:34,536 | INFO | src.trainer.client.client_7 | Round 1 local test metrics: loss=1.423587 metrics={'test_accuracy': 0.37533333333333335, 'test_precision': 0.36878064171891906, 'test_recall': 0.37533333333333335, 'test_f1': 0.3555864873983551, 'test_image_accuracy': 0.4, 'test_image_precision': 0.36666666666666664, 'test_image_recall': 0.4, 'test_image_f1': 0.38}
2026-09-04 23:44:54,100 | INFO | src.trainer.client.client_7 | Round 2 learning rate set to 9.99751e-05
2026-09-04 23:44:54,100 | INFO | src.trainer.client.client_7 | Starting local training for round 2
2026-09-04 23:45:18,509 | INFO | src.trainer.client.client_7 | Round 2 local epoch 1/3: train_loss=1.168361
2026-09-04 23:45:41,928 | INFO | src.trainer.client.client_7 | Round 2 local epoch 2/3: train_loss=0.991723
2026-09-04 23:46:06,469 | INFO | src.trainer.client.client_7 | Round 2 local epoch 3/3: train_loss=0.901105
2026-09-04 23:46:32,344 | INFO | src.trainer.client.client_7 | Round 2 local fit metrics: {'train_loss': 0.9011053528020412, 'lr': 9.997507884796767e-05, 'train_accuracy': 0.7814074074074074, 'train_precision': 0.8036007704602097, 'train_recall': 0.7773703703703704, 'train_f1': 0.7849549223970689, 'train_image_accuracy': 0.8222222222222222, 'train_image_precision': 0.8424242424242424, 'train_image_recall': 0.8266666666666665, 'train_image_f1': 0.8299886078833447, 'val_loss': 0.7314128912350646, 'val_accuracy': 0.7011111111111111, 'val_precision': 0.7412707964781504, 'val_recall': 0.7303333333333333, 'val_f1': 0.6971687210086479, 'val_image_accuracy': 0.7777777777777778, 'val_image_precision': 0.8, 'val_image_recall': 0.8, 'val_image_f1': 0.7666666666666666}
2026-09-04 23:50:01,790 | INFO | src.trainer.client.client_7 | Round 2 local test metrics: loss=1.319069 metrics={'test_accuracy': 0.436, 'test_precision': 0.41388829543087996, 'test_recall': 0.43599999999999994, 'test_f1': 0.4022783175929071, 'test_image_accuracy': 0.4, 'test_image_precision': 0.3, 'test_image_recall': 0.4, 'test_image_f1': 0.3333333333333333}
2026-09-04 23:55:21,785 | INFO | src.trainer.client.client_7 | Round 3 learning rate set to 9.99003e-05
2026-09-04 23:55:21,785 | INFO | src.trainer.client.client_7 | Starting local training for round 3
2026-09-04 23:55:45,073 | INFO | src.trainer.client.client_7 | Round 3 local epoch 1/3: train_loss=0.971997
2026-09-04 23:56:09,066 | INFO | src.trainer.client.client_7 | Round 3 local epoch 2/3: train_loss=0.834276
2026-09-04 23:56:31,581 | INFO | src.trainer.client.client_7 | Round 3 local epoch 3/3: train_loss=0.749411
2026-09-04 23:56:57,538 | INFO | src.trainer.client.client_7 | Round 3 local fit metrics: {'train_loss': 0.7494106999738717, 'lr': 9.990034048535828e-05, 'train_accuracy': 0.7696296296296297, 'train_precision': 0.8010464328716169, 'train_recall': 0.7856518518518518, 'train_f1': 0.7687410675747313, 'train_image_accuracy': 0.7777777777777778, 'train_image_precision': 0.847564935064935, 'train_image_recall': 0.8, 'train_image_f1': 0.7701294261294261, 'val_loss': 1.0145289538690336, 'val_accuracy': 0.6137037037037038, 'val_precision': 0.6685835200034036, 'val_recall': 0.6523333333333333, 'val_f1': 0.5933587852151223, 'val_image_accuracy': 0.6666666666666666, 'val_image_precision': 0.7666666666666667, 'val_image_recall': 0.7, 'val_image_f1': 0.6666666666666666}
2026-09-04 23:58:45,649 | INFO | src.trainer.client.client_7 | Round 3 local test metrics: loss=1.145519 metrics={'test_accuracy': 0.5246666666666666, 'test_precision': 0.5438318029358288, 'test_recall': 0.5246666666666666, 'test_f1': 0.5077673172989685, 'test_image_accuracy': 0.5, 'test_image_precision': 0.5666666666666667, 'test_image_recall': 0.5, 'test_image_f1': 0.48}
2026-09-05 00:04:03,328 | INFO | src.trainer.client.client_7 | Round 4 learning rate set to 9.97759e-05
2026-09-05 00:04:03,328 | INFO | src.trainer.client.client_7 | Starting local training for round 4
2026-09-05 00:04:27,764 | INFO | src.trainer.client.client_7 | Round 4 local epoch 1/3: train_loss=0.847258
2026-09-05 00:04:50,949 | INFO | src.trainer.client.client_7 | Round 4 local epoch 2/3: train_loss=0.732515
2026-09-05 00:05:12,937 | INFO | src.trainer.client.client_7 | Round 4 local epoch 3/3: train_loss=0.652234
2026-09-05 00:05:40,603 | INFO | src.trainer.client.client_7 | Round 4 local fit metrics: {'train_loss': 0.6522341744693709, 'lr': 9.97758601673677e-05, 'train_accuracy': 0.7767407407407407, 'train_precision': 0.8061259302012133, 'train_recall': 0.7857999999999998, 'train_f1': 0.7706447672834403, 'train_image_accuracy': 0.8666666666666667, 'train_image_precision': 0.9002797202797204, 'train_image_recall': 0.8800000000000001, 'train_image_f1': 0.8674458874458875, 'val_loss': 1.4273247823988398, 'val_accuracy': 0.5140740740740741, 'val_precision': 0.576674873470947, 'val_recall': 0.5626666666666666, 'val_f1': 0.5047841048309106, 'val_image_accuracy': 0.5555555555555556, 'val_image_precision': 0.5333333333333333, 'val_image_recall': 0.6, 'val_image_f1': 0.5133333333333333}
2026-09-05 00:07:44,046 | INFO | src.trainer.client.client_7 | Round 4 local test metrics: loss=1.069361 metrics={'test_accuracy': 0.5633333333333334, 'test_precision': 0.615474826143852, 'test_recall': 0.5633333333333332, 'test_f1': 0.550701516750028, 'test_image_accuracy': 0.6, 'test_image_precision': 0.7, 'test_image_recall': 0.6, 'test_image_f1': 0.6066666666666667}
2026-09-05 00:14:21,086 | INFO | src.trainer.client.client_7 | Round 5 learning rate set to 9.96018e-05
2026-09-05 00:14:21,086 | INFO | src.trainer.client.client_7 | Starting local training for round 5
2026-09-05 00:14:45,411 | INFO | src.trainer.client.client_7 | Round 5 local epoch 1/3: train_loss=0.784926
2026-09-05 00:15:09,221 | INFO | src.trainer.client.client_7 | Round 5 local epoch 2/3: train_loss=0.643477
2026-09-05 00:15:33,730 | INFO | src.trainer.client.client_7 | Round 5 local epoch 3/3: train_loss=0.569968
2026-09-05 00:16:01,021 | INFO | src.trainer.client.client_7 | Round 5 local fit metrics: {'train_loss': 0.5699675824907091, 'lr': 9.960176323512438e-05, 'train_accuracy': 0.8354814814814815, 'train_precision': 0.8509017724802129, 'train_recall': 0.8463851851851851, 'train_f1': 0.8403467379626595, 'train_image_accuracy': 0.9555555555555556, 'train_image_precision': 0.9636363636363636, 'train_image_recall': 0.96, 'train_image_f1': 0.9589473684210527, 'val_loss': 1.3035506653513207, 'val_accuracy': 0.5962962962962963, 'val_precision': 0.6675107118820851, 'val_recall': 0.6366666666666666, 'val_f1': 0.5825954656549974, 'val_image_accuracy': 0.5555555555555556, 'val_image_precision': 0.5333333333333333, 'val_image_recall': 0.6, 'val_image_f1': 0.5133333333333333}
2026-09-05 00:16:15,162 | INFO | src.trainer.client.client_7 | Round 5 local test metrics: loss=1.020682 metrics={'test_accuracy': 0.618, 'test_precision': 0.6786988478201877, 'test_recall': 0.6180000000000001, 'test_f1': 0.6121211925980877, 'test_image_accuracy': 0.7, 'test_image_precision': 0.8, 'test_image_recall': 0.7, 'test_image_f1': 0.7}
2026-09-05 00:18:09,640 | INFO | src.trainer.client.client_7 | Round 6 learning rate set to 9.93782e-05
2026-09-05 00:18:09,641 | INFO | src.trainer.client.client_7 | Starting local training for round 6
2026-09-05 00:18:34,625 | INFO | src.trainer.client.client_7 | Round 6 local epoch 1/3: train_loss=0.712918
2026-09-05 00:18:56,981 | INFO | src.trainer.client.client_7 | Round 6 local epoch 2/3: train_loss=0.574214
2026-09-05 00:19:18,457 | INFO | src.trainer.client.client_7 | Round 6 local epoch 3/3: train_loss=0.542014
2026-09-05 00:19:44,474 | INFO | src.trainer.client.client_7 | Round 6 local fit metrics: {'train_loss': 0.5420142097090498, 'lr': 9.937822498948152e-05, 'train_accuracy': 0.9237037037037037, 'train_precision': 0.9326734764143307, 'train_recall': 0.9156444444444445, 'train_f1': 0.9209126039345655, 'train_image_accuracy': 0.9555555555555556, 'train_image_precision': 0.9636363636363636, 'train_image_recall': 0.9466666666666667, 'train_image_f1': 0.9512918660287081, 'val_loss': 1.2189919089477648, 'val_accuracy': 0.5703703703703704, 'val_precision': 0.5587275538899692, 'val_recall': 0.612, 'val_f1': 0.5542172365914518, 'val_image_accuracy': 0.6666666666666666, 'val_image_precision': 0.5666666666666667, 'val_image_recall': 0.7, 'val_image_f1': 0.5866666666666667}
2026-09-05 00:25:07,700 | INFO | src.trainer.client.client_7 | Round 6 local test metrics: loss=1.058629 metrics={'test_accuracy': 0.629, 'test_precision': 0.7085929184667379, 'test_recall': 0.629, 'test_f1': 0.6171005528069855, 'test_image_accuracy': 0.7, 'test_image_precision': 0.8800000000000001, 'test_image_recall': 0.7, 'test_image_f1': 0.7142857142857142}
2026-09-05 00:25:09,860 | INFO | src.trainer.client.client_7 | Round 7 learning rate set to 9.91055e-05
2026-09-05 00:25:09,860 | INFO | src.trainer.client.client_7 | Starting local training for round 7
2026-09-05 00:25:33,091 | INFO | src.trainer.client.client_7 | Round 7 local epoch 1/3: train_loss=0.659415
2026-09-05 00:25:56,347 | INFO | src.trainer.client.client_7 | Round 7 local epoch 2/3: train_loss=0.543362
2026-09-05 00:26:20,966 | INFO | src.trainer.client.client_7 | Round 7 local epoch 3/3: train_loss=0.511308
