2026-09-13 01:08:49,969 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-13 01:08:49: {'train_loss': 0.8994956910813748, 'lr': 9.8983152541804e-05, 'val_loss': 1.688588903839128, 'val_accuracy': 0.36855263157894735, 'val_precision': 0.32805367597847046, 'val_recall': 0.31857124183006535, 'val_f1': 0.31921529708048174, 'val_image_accuracy': 0.3157894736842105, 'val_image_precision': 0.2763157894736842, 'val_image_recall': 0.26745098039215687, 'val_image_f1': 0.2686686686686687}
2026-09-13 01:08:49,970 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.31921529708048174 val_image_f1=0.2686686686686687
2026-09-13 01:08:49,970 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-13 01:10:48,003 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=0.857902
2026-09-13 01:11:05,990 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-13 01:11:05: {'train_loss': 0.8579024422354581, 'lr': 9.841455409665323e-05, 'val_loss': 1.6796541263973503, 'val_accuracy': 0.45460526315789473, 'val_precision': 0.37647421298824935, 'val_recall': 0.3921535947712418, 'val_f1': 0.35359320761847407, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.39090909090909093, 'val_image_recall': 0.40843137254901957, 'val_image_f1': 0.35408033826638474}
2026-09-13 01:11:05,990 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.35359320761847407 val_image_f1=0.35408033826638474
2026-09-13 01:11:05,990 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-13 01:13:05,099 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=0.827673
2026-09-13 01:13:23,046 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-13 01:13:23: {'train_loss': 0.827672913299283, 'lr': 9.772289238107717e-05, 'val_loss': 1.5909945274549617, 'val_accuracy': 0.43100877192982456, 'val_precision': 0.38651205588744453, 'val_recall': 0.3721745098039216, 'val_f1': 0.36882577140532663, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4263070263070263, 'val_image_recall': 0.41424836601307186, 'val_image_f1': 0.4073441668687849}
2026-09-13 01:13:23,046 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.36882577140532663 val_image_f1=0.4073441668687849
2026-09-13 01:13:23,046 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 9.69101e-05
2026-09-13 01:15:21,253 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=0.793709
2026-09-13 01:15:39,210 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-13 01:15:39: {'train_loss': 0.7937092892930697, 'lr': 9.691012798535524e-05, 'val_loss': 1.78769490590221, 'val_accuracy': 0.36521929824561405, 'val_precision': 0.3246807718881023, 'val_recall': 0.3132385620915033, 'val_f1': 0.30874239007988324, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.3157487922705314, 'val_image_recall': 0.31254901960784315, 'val_image_f1': 0.30044402751719823}
2026-09-13 01:15:39,210 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.30874239007988324 val_image_f1=0.30044402751719823
2026-09-13 01:15:39,210 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 9.59786e-05
2026-09-13 01:17:39,309 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=0.767203
2026-09-13 01:17:57,318 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-13 01:17:57: {'train_loss': 0.7672027543959302, 'lr': 9.597856477847111e-05, 'val_loss': 1.7916178144697557, 'val_accuracy': 0.4413157894736842, 'val_precision': 0.3836456558936582, 'val_recall': 0.38013093681917215, 'val_f1': 0.3347685837155324, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.41969696969696973, 'val_image_recall': 0.39712418300653596, 'val_image_f1': 0.33311448834853086}
2026-09-13 01:17:57,318 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.3347685837155324 val_image_f1=0.33311448834853086
2026-09-13 01:17:57,318 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 9.49308e-05
2026-09-13 01:19:56,363 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=0.743952
2026-09-13 01:20:14,338 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-13 01:20:14: {'train_loss': 0.7439523827241984, 'lr': 9.493084337754573e-05, 'val_loss': 1.8426587305466333, 'val_accuracy': 0.39592105263157895, 'val_precision': 0.36538889343526904, 'val_recall': 0.34722854030501094, 'val_f1': 0.34351594380069006, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.38690476190476186, 'val_image_recall': 0.3615686274509804, 'val_image_f1': 0.3555555555555555}
2026-09-13 01:20:14,338 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.34351594380069006 val_image_f1=0.3555555555555555
