2026-09-05 23:37:49,979 | INFO | src.trainer.client.client_5 | Round 1 learning rate set to 0.0001
2026-09-05 23:37:49,979 | INFO | src.trainer.client.client_5 | Starting local training for round 1
2026-09-05 23:38:08,305 | INFO | src.trainer.client.client_5 | Round 1 local epoch 1/3: train_loss=1.648072
2026-09-05 23:38:25,392 | INFO | src.trainer.client.client_5 | Round 1 local epoch 2/3: train_loss=1.627331
2026-09-05 23:38:41,631 | INFO | src.trainer.client.client_5 | Round 1 local epoch 3/3: train_loss=1.620141
2026-09-05 23:39:05,410 | INFO | src.trainer.client.client_5 | Round 1 local fit metrics: {'train_loss': 1.6201409326083418, 'lr': 0.0001, 'train_accuracy': 0.2172463768115942, 'train_precision': 0.057504455363513694, 'train_recall': 0.19984848484848483, 'train_f1': 0.07186427118310464, 'train_image_accuracy': 0.21739130434782608, 'train_image_precision': 0.043478260869565216, 'train_image_recall': 0.2, 'train_image_f1': 0.07142857142857142, 'val_loss': 1.6223586842219035, 'val_accuracy': 0.2, 'val_precision': 0.04004004004004004, 'val_recall': 0.2, 'val_f1': 0.06672226855713094, 'val_image_accuracy': 0.2, 'val_image_precision': 0.04, 'val_image_recall': 0.2, 'val_image_f1': 0.06666666666666667}
2026-09-05 23:40:46,926 | INFO | src.trainer.client.client_5 | Round 1 local test metrics: loss=1.628936 metrics={'test_accuracy': 0.3496666666666667, 'test_precision': 0.1815441277704647, 'test_recall': 0.3496666666666667, 'test_f1': 0.22165834349439378, 'test_image_accuracy': 0.4, 'test_image_precision': 0.25, 'test_image_recall': 0.4, 'test_image_f1': 0.27999999999999997}
2026-09-05 23:40:53,232 | INFO | src.trainer.client.client_5 | Round 2 learning rate set to 9.99751e-05
2026-09-05 23:40:53,233 | INFO | src.trainer.client.client_5 | Starting local training for round 2
2026-09-05 23:41:10,703 | INFO | src.trainer.client.client_5 | Round 2 local epoch 1/3: train_loss=1.626508
2026-09-05 23:41:26,340 | INFO | src.trainer.client.client_5 | Round 2 local epoch 2/3: train_loss=1.610872
2026-09-05 23:41:42,819 | INFO | src.trainer.client.client_5 | Round 2 local epoch 3/3: train_loss=1.615210
2026-09-05 23:42:11,488 | INFO | src.trainer.client.client_5 | Round 2 local fit metrics: {'train_loss': 1.6152103126912878, 'lr': 9.997507884796767e-05, 'train_accuracy': 0.23442028985507246, 'train_precision': 0.11410348638479881, 'train_recall': 0.21564848484848484, 'train_f1': 0.1008210535548395, 'train_image_accuracy': 0.21739130434782608, 'train_image_precision': 0.045454545454545456, 'train_image_recall': 0.2, 'train_image_f1': 0.07407407407407407, 'val_loss': 1.618938905398051, 'val_accuracy': 0.20033333333333334, 'val_precision': 0.14014720642355302, 'val_recall': 0.20033333333333334, 'val_f1': 0.06753544653328877, 'val_image_accuracy': 0.2, 'val_image_precision': 0.04, 'val_image_recall': 0.2, 'val_image_f1': 0.06666666666666667}
2026-09-05 23:47:31,708 | INFO | src.trainer.client.client_5 | Round 2 local test metrics: loss=1.622707 metrics={'test_accuracy': 0.35433333333333333, 'test_precision': 0.14563522855281213, 'test_recall': 0.3543333333333333, 'test_f1': 0.20393368345175572, 'test_image_accuracy': 0.4, 'test_image_precision': 0.16666666666666666, 'test_image_recall': 0.4, 'test_image_f1': 0.2333333333333333}
2026-09-05 23:49:02,565 | INFO | src.trainer.client.client_5 | Round 3 learning rate set to 9.99003e-05
2026-09-05 23:49:02,566 | INFO | src.trainer.client.client_5 | Starting local training for round 3
2026-09-05 23:49:20,542 | INFO | src.trainer.client.client_5 | Round 3 local epoch 1/3: train_loss=1.614289
2026-09-05 23:49:36,911 | INFO | src.trainer.client.client_5 | Round 3 local epoch 2/3: train_loss=1.608218
2026-09-05 23:49:53,835 | INFO | src.trainer.client.client_5 | Round 3 local epoch 3/3: train_loss=1.605807
2026-09-05 23:50:19,809 | INFO | src.trainer.client.client_5 | Round 3 local fit metrics: {'train_loss': 1.6058071806810905, 'lr': 9.990034048535828e-05, 'train_accuracy': 0.2177536231884058, 'train_precision': 0.08522067363530779, 'train_recall': 0.2003030303030303, 'train_f1': 0.07213244294324538, 'train_image_accuracy': 0.21739130434782608, 'train_image_precision': 0.043478260869565216, 'train_image_recall': 0.2, 'train_image_f1': 0.07142857142857142, 'val_loss': 1.6148550872802734, 'val_accuracy': 0.2, 'val_precision': 0.04006677796327212, 'val_recall': 0.2, 'val_f1': 0.06675938803894298, 'val_image_accuracy': 0.2, 'val_image_precision': 0.04, 'val_image_recall': 0.2, 'val_image_f1': 0.06666666666666667}
2026-09-05 23:54:32,260 | INFO | src.trainer.client.client_5 | Round 3 local test metrics: loss=1.616781 metrics={'test_accuracy': 0.38466666666666666, 'test_precision': 0.16768232840581487, 'test_recall': 0.38466666666666666, 'test_f1': 0.23000783651817466, 'test_image_accuracy': 0.4, 'test_image_precision': 0.25, 'test_image_recall': 0.4, 'test_image_f1': 0.27999999999999997}
2026-09-05 23:55:56,990 | INFO | src.trainer.client.client_5 | Round 4 learning rate set to 9.97759e-05
2026-09-05 23:55:56,990 | INFO | src.trainer.client.client_5 | Starting local training for round 4
2026-09-05 23:56:14,915 | INFO | src.trainer.client.client_5 | Round 4 local epoch 1/3: train_loss=1.601281
2026-09-05 23:56:31,111 | INFO | src.trainer.client.client_5 | Round 4 local epoch 2/3: train_loss=1.598502
2026-09-05 23:56:47,802 | INFO | src.trainer.client.client_5 | Round 4 local epoch 3/3: train_loss=1.593384
2026-09-05 23:57:14,551 | INFO | src.trainer.client.client_5 | Round 4 local fit metrics: {'train_loss': 1.5933844265730486, 'lr': 9.97758601673677e-05, 'train_accuracy': 0.2391304347826087, 'train_precision': 0.04783301927815625, 'train_recall': 0.2, 'train_f1': 0.07720201193122003, 'train_image_accuracy': 0.2391304347826087, 'train_image_precision': 0.04782608695652174, 'train_image_recall': 0.2, 'train_image_f1': 0.07719298245614034, 'val_loss': 1.609066837310791, 'val_accuracy': 0.2, 'val_precision': 0.04, 'val_recall': 0.2, 'val_f1': 0.06666666666666667, 'val_image_accuracy': 0.2, 'val_image_precision': 0.04, 'val_image_recall': 0.2, 'val_image_f1': 0.06666666666666667}
2026-09-06 00:01:28,582 | INFO | src.trainer.client.client_5 | Round 4 local test metrics: loss=1.613380 metrics={'test_accuracy': 0.3413333333333333, 'test_precision': 0.1977283990444971, 'test_recall': 0.3413333333333333, 'test_f1': 0.19608290361472616, 'test_image_accuracy': 0.3, 'test_image_precision': 0.11666666666666665, 'test_image_recall': 0.3, 'test_image_f1': 0.16666666666666666}
2026-09-06 00:02:47,743 | INFO | src.trainer.client.client_5 | Round 5 learning rate set to 9.96018e-05
2026-09-06 00:02:47,743 | INFO | src.trainer.client.client_5 | Starting local training for round 5
2026-09-06 00:03:05,276 | INFO | src.trainer.client.client_5 | Round 5 local epoch 1/3: train_loss=1.593697
2026-09-06 00:03:21,791 | INFO | src.trainer.client.client_5 | Round 5 local epoch 2/3: train_loss=1.593167
2026-09-06 00:03:38,394 | INFO | src.trainer.client.client_5 | Round 5 local epoch 3/3: train_loss=1.586809
2026-09-06 00:04:05,368 | INFO | src.trainer.client.client_5 | Round 5 local fit metrics: {'train_loss': 1.5868094074553338, 'lr': 9.960176323512438e-05, 'train_accuracy': 0.3095652173913043, 'train_precision': 0.16401779617577447, 'train_recall': 0.26490909090909087, 'train_f1': 0.16283835845592926, 'train_image_accuracy': 0.30434782608695654, 'train_image_precision': 0.14212454212454212, 'train_image_recall': 0.26, 'train_image_f1': 0.15858823529411764, 'val_loss': 1.6166224263509115, 'val_accuracy': 0.206, 'val_precision': 0.09911202185792349, 'val_recall': 0.20600000000000002, 'val_f1': 0.08018707482993197, 'val_image_accuracy': 0.2, 'val_image_precision': 0.04, 'val_image_recall': 0.2, 'val_image_f1': 0.06666666666666667}
2026-09-06 00:08:10,232 | INFO | src.trainer.client.client_5 | Round 5 local test metrics: loss=1.611250 metrics={'test_accuracy': 0.317, 'test_precision': 0.12635760309369926, 'test_recall': 0.317, 'test_f1': 0.1783451665948234, 'test_image_accuracy': 0.3, 'test_image_precision': 0.11666666666666665, 'test_image_recall': 0.3, 'test_image_f1': 0.16666666666666666}
2026-09-06 00:13:40,644 | INFO | src.trainer.client.client_5 | Round 6 learning rate set to 9.93782e-05
2026-09-06 00:13:40,644 | INFO | src.trainer.client.client_5 | Starting local training for round 6
2026-09-06 00:13:57,930 | INFO | src.trainer.client.client_5 | Round 6 local epoch 1/3: train_loss=1.586793
2026-09-06 00:14:13,918 | INFO | src.trainer.client.client_5 | Round 6 local epoch 2/3: train_loss=1.580273
2026-09-06 00:14:30,977 | INFO | src.trainer.client.client_5 | Round 6 local epoch 3/3: train_loss=1.577762
2026-09-06 00:14:53,409 | INFO | src.trainer.client.client_5 | Round 6 local fit metrics: {'train_loss': 1.5777622029401255, 'lr': 9.937822498948152e-05, 'train_accuracy': 0.2565217391304348, 'train_precision': 0.10000709672840821, 'train_recall': 0.21600000000000003, 'train_f1': 0.10599683566458044, 'train_image_accuracy': 0.2391304347826087, 'train_image_precision': 0.05, 'train_image_recall': 0.2, 'train_image_f1': 0.08, 'val_loss': 1.6167362384796142, 'val_accuracy': 0.2, 'val_precision': 0.04001333777925976, 'val_recall': 0.2, 'val_f1': 0.0666851903306474, 'val_image_accuracy': 0.2, 'val_image_precision': 0.04, 'val_image_recall': 0.2, 'val_image_f1': 0.06666666666666667}
