round,lr,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,0.00010000000000000002,0.28815533980582525,0.15287619770627278,0.32038834951456313,0.16950969203396385,0.14600092464170134,0.2812297734627832,1.5891122850708204,0.12400033042036272,0.25344768069039914,0.2435164835164835,0.09721946163674067,0.24615384615384617,0.09700766058929461,0.08314129540532085,0.21370629370629374,1.6234047213928164,0.14251291925427348,0.2114244422244422,0.23291550671550673,0.09148366930755615,0.23982905982905986,0.09416429724122033,0.06634781091923948,0.20989010989010992,1.58428255862918,0.06748171735632359,0.20292698412698415
2,9.997507884796767e-05,0.3030744336569579,0.16361993110099088,0.33980582524271846,0.17619341823225315,0.13518723994452148,0.2919093851132686,1.5851894961977469,0.12521190932418594,0.26230312837108954,0.2651062271062271,0.12125817931561543,0.26373626373626374,0.11659734282499995,0.09859791368582578,0.22841158841158843,1.6075552330261622,0.14283465317715302,0.2296341125541126,0.25584078144078143,0.1136205531225727,0.24993894993894994,0.0971618857333143,0.06385592185592186,0.22000000000000003,1.5823662910007297,0.13912193370427722,0.2242871794871795
3,9.990034048535827e-05,0.3204854368932039,0.172470235838359,0.32038834951456313,0.17224071505624905,0.13145631067961164,0.27896440129449834,1.5825612012776742,0.12906702266811007,0.2788500539374326,0.262937728937729,0.11544138185043278,0.26153846153846155,0.11225115262120819,0.0889856297548605,0.22769230769230772,1.6021080982641422,0.1574529001873593,0.2288905760905761,0.23816532356532355,0.10280586406011534,0.21697191697191698,0.08411149290270169,0.06767434153148438,0.18695970695970698,1.580806257437107,0.12292413709372854,0.20640561660561663
4,9.97758601673677e-05,0.3139482200647249,0.1765708376879498,0.32038834951456313,0.17256433965171827,0.13011789181692096,0.2754045307443366,1.578985613480355,0.23072478503733868,0.2710474649406688,0.26958241758241763,0.12340878362908876,0.2681318681318681,0.12053569786887243,0.10712004488862119,0.23100499500499505,1.5910186654918796,0.13336869535186746,0.23232010656010652,0.27115392755392753,0.1114177755001,0.2686202686202686,0.10654546918283181,0.0760866910866911,0.2197802197802198,1.575604121146864,0.13989299062718583,0.22062735042735046
5,9.960176323512436e-05,0.3053398058252427,0.16536602289896693,0.3106796116504854,0.16808290953922023,0.1264008321775312,0.2682847896440129,1.576520852409906,0.12581468847717542,0.2632189859762675,0.2968498168498168,0.15160316049220246,0.2945054945054945,0.1460051044839668,0.15547609682773775,0.25253546453546455,1.5886670142128354,0.1812025462580056,0.25480815184815186,0.27375653235653236,0.1285766590600082,0.258949938949939,0.10912021312021311,0.08798674341531484,0.21663003663003666,1.5760500491758258,0.13756609479635767,0.23152527472527473
6,9.937822498948151e-05,0.2881877022653722,0.15042803331901167,0.2815533980582524,0.13443449754129363,0.10050470026198183,0.24110032362459546,1.5742056530733326,0.16099199105762332,0.2479611650485437,0.2851062271062271,0.14234458544537804,0.27912087912087913,0.13453268188511225,0.12590307698257763,0.24321678321678322,1.5803873616871815,0.17754515782975072,0.24860089244089242,0.2595631257631258,0.12516214565239678,0.25103785103785103,0.11211989475725738,0.09221419849991279,0.22322344322344326,1.5734642576955904,0.1645928714169986,0.23099120879120882
7,9.9105470514504e-05,0.30003236245954695,0.16233802986370152,0.30097087378640774,0.15830174140853753,0.11771382339343506,0.2576051779935275,1.572287770876221,0.12328556464259412,0.25870010787486514,0.3230476190476191,0.17635898955740203,0.3208791208791209,0.17334469634045385,0.1415706309961844,0.2774270174270175,1.5773061546912561,0.18757997496669418,0.2793105087505087,0.2940376882376882,0.15324784176643075,0.31015873015873013,0.1633279418993705,0.13520652363509506,0.26673992673992675,1.5699083501029414,0.16351823119008724,0.2528339438339438
8,9.878377445082767e-05,0.332168284789644,0.19392001505113005,0.32038834951456313,0.17623054399753427,0.14584604715672675,0.27637540453074433,1.570060367399049,0.22652020655275934,0.28751779935275085,0.2958754578754579,0.15561124603424278,0.2989010989010989,0.15595463344607138,0.13878718340133483,0.2587492507492508,1.5742386775139052,0.19392461127862587,0.2560806941206942,0.29869352869352866,0.16297174827494573,0.293015873015873,0.15397940277061153,0.136317809174952,0.2597802197802198,1.566424412598414,0.17016408956028753,0.26391282051282056
9,9.841346071911963e-05,0.3383818770226537,0.20796024592937856,0.36893203883495146,0.22304319197523081,0.21189089227924177,0.3226537216828479,1.568236804980676,0.23694892618892893,0.29461596548004315,0.3421538461538461,0.19474260356375342,0.3384615384615385,0.1912238714988496,0.17689426899607147,0.2934025974025974,1.5719540270256909,0.20162769849683562,0.29700840344840346,0.3400575498575499,0.19390886049103329,0.34534798534798533,0.19865524951239236,0.18743432757718473,0.29978021978021974,1.569720842499242,0.20826146150665503,0.29571794871794865
10,9.799490219391763e-05,0.3387702265372167,0.20661944756106007,0.3592233009708738,0.22053321004777318,0.19985436893203884,0.3093851132686084,1.566180105888342,0.2113671888365167,0.2936623516720604,0.30803663003662995,0.16556721122420479,0.3142857142857143,0.16955081655731125,0.1457354069381719,0.2738061938061938,1.5666570176484387,0.1692343695111194,0.2686823576423576,0.2974068376068376,0.1548576595741442,0.2897191697191697,0.14000388378410356,0.11609855224140937,0.24652014652014653,1.5676467296141554,0.1601975804769702,0.2551032967032967
