2026-09-05 23:37:58,346 | INFO | src.trainer.client.client_3 | Round 1 learning rate set to 0.0001
2026-09-05 23:37:58,346 | INFO | src.trainer.client.client_3 | Starting local training for round 1
2026-09-05 23:38:15,419 | INFO | src.trainer.client.client_3 | Round 1 local epoch 1/3: train_loss=1.646388
2026-09-05 23:38:32,359 | INFO | src.trainer.client.client_3 | Round 1 local epoch 2/3: train_loss=1.614772
2026-09-05 23:38:49,375 | INFO | src.trainer.client.client_3 | Round 1 local epoch 3/3: train_loss=1.607422
2026-09-05 23:39:12,091 | INFO | src.trainer.client.client_3 | Round 1 local fit metrics: {'train_loss': 1.6074220537256312, 'lr': 0.0001, 'train_accuracy': 0.2760740740740741, 'train_precision': 0.30822683921137806, 'train_recall': 0.22946060606060606, 'train_f1': 0.13138338898801008, 'train_image_accuracy': 0.26666666666666666, 'train_image_precision': 0.08646616541353383, 'train_image_recall': 0.22000000000000003, 'train_image_f1': 0.11332533013205282, 'val_loss': 1.5735555725097656, 'val_accuracy': 0.203, 'val_precision': 0.07339304379906131, 'val_recall': 0.203, 'val_f1': 0.09622119815668204, 'val_image_accuracy': 0.2, 'val_image_precision': 0.04444444444444444, 'val_image_recall': 0.2, 'val_image_f1': 0.07272727272727272}
2026-09-05 23:40:30,163 | INFO | src.trainer.client.client_3 | Round 1 local test metrics: loss=1.563932 metrics={'test_accuracy': 0.3281818181818182, 'test_precision': 0.17350957210330278, 'test_recall': 0.2977777777777778, 'test_f1': 0.1965935546565594, 'test_image_accuracy': 0.36363636363636365, 'test_image_precision': 0.24444444444444446, 'test_image_recall': 0.3333333333333333, 'test_image_f1': 0.23272727272727273}
2026-09-05 23:45:59,153 | INFO | src.trainer.client.client_3 | Round 2 learning rate set to 9.99751e-05
2026-09-05 23:45:59,154 | INFO | src.trainer.client.client_3 | Starting local training for round 2
2026-09-05 23:46:16,349 | INFO | src.trainer.client.client_3 | Round 2 local epoch 1/3: train_loss=1.612887
2026-09-05 23:46:31,934 | INFO | src.trainer.client.client_3 | Round 2 local epoch 2/3: train_loss=1.606788
2026-09-05 23:46:48,217 | INFO | src.trainer.client.client_3 | Round 2 local epoch 3/3: train_loss=1.590889
2026-09-05 23:47:14,754 | INFO | src.trainer.client.client_3 | Round 2 local fit metrics: {'train_loss': 1.5908887172628332, 'lr': 9.997507884796767e-05, 'train_accuracy': 0.24481481481481482, 'train_precision': 0.4489070025935532, 'train_recall': 0.2003333333333333, 'train_f1': 0.07926090929379995, 'train_image_accuracy': 0.24444444444444444, 'train_image_precision': 0.048888888888888885, 'train_image_recall': 0.2, 'train_image_f1': 0.07857142857142857, 'val_loss': 1.567911008834839, 'val_accuracy': 0.2, 'val_precision': 0.04, 'val_recall': 0.2, 'val_f1': 0.06666666666666667, 'val_image_accuracy': 0.2, 'val_image_precision': 0.04, 'val_image_recall': 0.2, 'val_image_f1': 0.06666666666666667}
2026-09-05 23:47:41,994 | INFO | src.trainer.client.client_3 | Round 2 local test metrics: loss=1.557975 metrics={'test_accuracy': 0.2957575757575758, 'test_precision': 0.10867043860146716, 'test_recall': 0.24133333333333332, 'test_f1': 0.14969535467958134, 'test_image_accuracy': 0.36363636363636365, 'test_image_precision': 0.13571428571428573, 'test_image_recall': 0.3, 'test_image_f1': 0.18666666666666668}
2026-09-05 23:47:43,987 | INFO | src.trainer.client.client_3 | Round 3 learning rate set to 9.99003e-05
2026-09-05 23:47:43,987 | INFO | src.trainer.client.client_3 | Starting local training for round 3
2026-09-05 23:48:01,316 | INFO | src.trainer.client.client_3 | Round 3 local epoch 1/3: train_loss=1.595070
2026-09-05 23:48:17,314 | INFO | src.trainer.client.client_3 | Round 3 local epoch 2/3: train_loss=1.597506
2026-09-05 23:48:33,897 | INFO | src.trainer.client.client_3 | Round 3 local epoch 3/3: train_loss=1.584415
