epoch,lr,train_loss,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,0.0001,1.0914791792449725,0.3964473684210526,0.3155996616406117,0.4473684210526316,0.3466666666666666,0.3857487610428787,0.387516339869281,1.7720943431582368,0.3374703140764748,0.3428631808278867
2,9.993622130545428e-05,0.8447530782231598,0.4376315789473684,0.3797757382258264,0.5,0.3983132045088567,0.4071577847439916,0.4290849673202614,1.6139762193487401,0.39007343838487846,0.3931115468409586
3,9.974506600945618e-05,0.7388118616456709,0.4718859649122807,0.3642405847703465,0.4868421052631579,0.3653061224489796,0.3941468253968254,0.4201960784313726,1.7096618424486696,0.3941111686568858,0.4058673202614379
4,9.94270759624605e-05,0.679729062266587,0.3882456140350877,0.32326806307784006,0.42105263157894735,0.3404280904280904,0.3950769230769231,0.3589542483660131,1.9429780998773742,0.35453644771207327,0.3373320261437909
5,9.8983152541804e-05,0.6352521521158367,0.43219298245614035,0.3633526653095439,0.4868421052631579,0.3926354347406979,0.39606349206349206,0.4133333333333333,1.781974144138788,0.36994611577030334,0.37553965141612206
6,9.841455409665323e-05,0.6059561125685218,0.4050877192982456,0.34696147670943206,0.40789473684210525,0.335158909344561,0.3375824175824175,0.3480392156862745,1.790145871586967,0.35869983588745746,0.3451516339869281
7,9.772289238107717e-05,0.5811345532830768,0.4415350877192982,0.3554074802694246,0.4473684210526316,0.3466093697337378,0.3673694581280788,0.38379084967320265,1.8010438191472438,0.3705211099638486,0.37979999999999997
8,9.691012798535524e-05,0.5619989525059372,0.3223684210526316,0.2847712091946205,0.27631578947368424,0.23800773694390714,0.2583333333333333,0.2334640522875817,2.0878113571907346,0.30440752077599853,0.2783217864923747
9,9.597856477847111e-05,0.5480603458125589,0.4523684210526316,0.3510592088185473,0.4868421052631579,0.37439782439782443,0.40253259285517345,0.4201960784313726,1.8148625608598976,0.3811087129826366,0.3900618736383442
10,9.493084337754573e-05,0.5362312871222152,0.4368859649122807,0.36585772529662863,0.4868421052631579,0.39578375113258835,0.4027972027972028,0.4155555555555555,1.7842574263351005,0.3702263232757555,0.37882069716775596
11,9.376993366272128e-05,0.524077332587975,0.46030701754385966,0.3725585892591131,0.5131578947368421,0.40131947880587165,0.4356190476190477,0.4413071895424837,1.7685626441972297,0.3914441297153143,0.3971074074074074
12,9.249912635871318e-05,0.5167541244442408,0.45460526315789473,0.3445592893173746,0.5,0.37128387140809505,0.3978958101594364,0.43241830065359477,1.8578299215383698,0.36969783678014195,0.3927814814814815
13,9.112202370689337e-05,0.5092329863592174,0.4557894736842105,0.3521204506991603,0.4868421052631579,0.3710936195587359,0.423959595959596,0.4213071895424837,1.8383528325432226,0.37123305521644034,0.3939514161220044
14,8.964252925434579e-05,0.5025102518626116,0.4435087719298246,0.34503233814256223,0.5263157894736842,0.4050329589200021,0.4404642857142857,0.4541830065359477,1.8417057519210012,0.36264598138808235,0.38305969498910675
15,8.806483678883803e-05,0.4957950851876557,0.41960526315789476,0.3380820135433013,0.4473684210526316,0.347008547008547,0.3784126984126984,0.38620915032679737,1.8692969824033872,0.3567671616693168,0.3621943355119826
16,8.639341845107433e-05,0.49112468032458134,0.4479385964912281,0.3515918431295687,0.5,0.38239202657807303,0.41090909090909095,0.4319607843137255,1.8733531309115259,0.3627768907496133,0.3870028322440088
17,8.463301205792675e-05,0.4864213312725359,0.4311842105263158,0.34666801775439865,0.47368421052631576,0.3699534013734904,0.3927777777777778,0.40843137254901957,1.8803894172007578,0.3669176577478752,0.3728891067538126
18,8.278860767257865e-05,0.4816528063061154,0.44469298245614036,0.34286770008154954,0.4868421052631579,0.3674325674325674,0.38835470085470086,0.4213071895424837,1.8413113375400243,0.3733277580941218,0.38463572984749456
19,8.086543345964832e-05,0.4780100418845193,0.42596491228070177,0.33922933189253857,0.4473684210526316,0.3480971659919028,0.36682539682539683,0.387516339869281,1.8948636405405246,0.34543947971569233,0.3669675381263616
20,7.886894086538841e-05,0.47365997850762176,0.4310964912280702,0.3470649902332673,0.5,0.38874408242829295,0.4264864864864865,0.4326143790849673,1.914377552103578,0.36937092658607046,0.37759019607843136
21,7.680478916496926e-05,0.4696698889541201,0.44228070175438594,0.34993495574087163,0.4868421052631579,0.3779940256931845,0.4003809523809524,0.41954248366013075,1.8523756941577845,0.367482834480437,0.380878431372549
22,7.46788294206485e-05,0.4682803880442667,0.4189912280701754,0.33234166749639993,0.47368421052631576,0.3667313079077785,0.38267973856209153,0.41084967320261434,1.9452220306061863,0.3405878949882223,0.36243834422657956
