2026-09-07 22:43:15,197 | INFO | src.trainer.client.client_2 | Round 1 learning rate set to 0.0001
2026-09-07 22:43:15,197 | INFO | src.trainer.client.client_2 | Starting local training for round 1
2026-09-07 22:43:46,002 | INFO | src.trainer.client.client_2 | Round 1 local epoch 1/1 (global_epoch 0): train_loss=1.585484
2026-09-07 22:44:14,274 | INFO | src.trainer.client.client_2 | Round 1 local fit metrics: {'train_loss': 1.585484310509502, 'lr': 0.0001, 'train_accuracy': 0.4653623188405797, 'train_precision': 0.4486289383722868, 'train_recall': 0.4874848484848485, 'train_f1': 0.4088861456195758, 'train_image_accuracy': 0.5, 'train_image_precision': 0.4678787878787878, 'train_image_recall': 0.5171717171717172, 'train_image_f1': 0.437543133195307, 'val_loss': 1.271286865234375, 'val_accuracy': 0.3873333333333333, 'val_precision': 0.409908070397986, 'val_recall': 0.3935555555555556, 'val_f1': 0.3399266275781213, 'val_image_accuracy': 0.4, 'val_image_precision': 0.33999999999999997, 'val_image_recall': 0.4333333333333333, 'val_image_f1': 0.3142857142857143}
2026-09-07 22:45:41,513 | INFO | src.trainer.client.client_2 | Round 1 local test metrics: loss=1.503601 metrics={'test_accuracy': 0.2703030303030303, 'test_precision': 0.17243986677779327, 'test_recall': 0.37244444444444447, 'test_f1': 0.21856669310497115, 'test_image_accuracy': 0.36363636363636365, 'test_image_precision': 0.32380952380952377, 'test_image_recall': 0.4666666666666666, 'test_image_f1': 0.28888888888888886}
2026-09-07 22:45:42,705 | INFO | src.trainer.client.client_2 | Round 2 learning rate set to 9.99773e-05
2026-09-07 22:45:42,705 | INFO | src.trainer.client.client_2 | Starting local training for round 2
2026-09-07 22:46:13,709 | INFO | src.trainer.client.client_2 | Round 2 local epoch 1/1 (global_epoch 1): train_loss=1.445755
2026-09-07 22:46:42,521 | INFO | src.trainer.client.client_2 | Round 2 local fit metrics: {'train_loss': 1.445754837644273, 'lr': 9.997734440724333e-05, 'train_accuracy': 0.5428260869565218, 'train_precision': 0.5727009110908164, 'train_recall': 0.5540336700336701, 'train_f1': 0.5214969935202172, 'train_image_accuracy': 0.5434782608695652, 'train_image_precision': 0.58, 'train_image_recall': 0.5656565656565655, 'train_image_f1': 0.51489010989011, 'val_loss': 1.1554482507705688, 'val_accuracy': 0.5083333333333333, 'val_precision': 0.4238193787619907, 'val_recall': 0.42777777777777776, 'val_f1': 0.40424648339215724, 'val_image_accuracy': 0.5, 'val_image_precision': 0.42000000000000004, 'val_image_recall': 0.4, 'val_image_f1': 0.3833333333333333}
2026-09-07 22:50:44,538 | INFO | src.trainer.client.client_2 | Round 2 local test metrics: loss=1.307792 metrics={'test_accuracy': 0.42696969696969694, 'test_precision': 0.5126490994702546, 'test_recall': 0.4808888888888889, 'test_f1': 0.363244639510313, 'test_image_accuracy': 0.45454545454545453, 'test_image_precision': 0.31666666666666665, 'test_image_recall': 0.5, 'test_image_f1': 0.37142857142857144}
2026-09-07 22:53:06,916 | INFO | src.trainer.client.client_2 | Round 3 learning rate set to 9.99094e-05
2026-09-07 22:53:06,916 | INFO | src.trainer.client.client_2 | Starting local training for round 3
2026-09-07 22:53:38,113 | INFO | src.trainer.client.client_2 | Round 3 local epoch 1/1 (global_epoch 2): train_loss=1.359489
2026-09-07 22:54:06,656 | INFO | src.trainer.client.client_2 | Round 3 local fit metrics: {'train_loss': 1.3594894181127133, 'lr': 9.99094004412348e-05, 'train_accuracy': 0.5806521739130435, 'train_precision': 0.6258016166505097, 'train_recall': 0.5979696969696969, 'train_f1': 0.5775265463875268, 'train_image_accuracy': 0.6086956521739131, 'train_image_precision': 0.6442424242424243, 'train_image_recall': 0.6363636363636364, 'train_image_f1': 0.6082480818414322, 'val_loss': 1.1135542333126067, 'val_accuracy': 0.5533333333333333, 'val_precision': 0.5275017819582202, 'val_recall': 0.4812222222222221, 'val_f1': 0.47245215057822615, 'val_image_accuracy': 0.6, 'val_image_precision': 0.4533333333333333, 'val_image_recall': 0.5, 'val_image_f1': 0.44333333333333336}
2026-09-07 22:56:23,597 | INFO | src.trainer.client.client_2 | Round 3 local test metrics: loss=1.228915 metrics={'test_accuracy': 0.4348484848484849, 'test_precision': 0.5004379864475144, 'test_recall': 0.4648888888888889, 'test_f1': 0.3517901546091299, 'test_image_accuracy': 0.45454545454545453, 'test_image_precision': 0.31666666666666665, 'test_image_recall': 0.5, 'test_image_f1': 0.37142857142857144}
2026-09-07 23:00:30,124 | INFO | src.trainer.client.client_2 | Round 4 learning rate set to 9.97962e-05
2026-09-07 23:00:30,125 | INFO | src.trainer.client.client_2 | Starting local training for round 4
2026-09-07 23:01:01,521 | INFO | src.trainer.client.client_2 | Round 4 local epoch 1/1 (global_epoch 3): train_loss=1.318475
2026-09-07 23:01:28,681 | INFO | src.trainer.client.client_2 | Round 4 local fit metrics: {'train_loss': 1.3184752961863642, 'lr': 9.979623651578881e-05, 'train_accuracy': 0.6216666666666667, 'train_precision': 0.6612870628789261, 'train_recall': 0.6221616161616161, 'train_f1': 0.6199165545449613, 'train_image_accuracy': 0.6739130434782609, 'train_image_precision': 0.722689075630252, 'train_image_recall': 0.6727272727272727, 'train_image_f1': 0.6701304543409806, 'val_loss': 0.9701576396624247, 'val_accuracy': 0.54, 'val_precision': 0.4726304824221309, 'val_recall': 0.4955555555555556, 'val_f1': 0.4568848632924782, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4, 'val_image_recall': 0.4666666666666666, 'val_image_f1': 0.4133333333333333}
