2026-09-07 22:41:17,169 | INFO | src.trainer.client.client_6 | Round 1 learning rate set to 0.0001
2026-09-07 22:41:17,170 | INFO | src.trainer.client.client_6 | Starting local training for round 1
2026-09-07 22:41:47,660 | INFO | src.trainer.client.client_6 | Round 1 local epoch 1/1 (global_epoch 0): train_loss=1.586243
2026-09-07 22:42:14,934 | INFO | src.trainer.client.client_6 | Round 1 local fit metrics: {'train_loss': 1.5862431308497553, 'lr': 0.0001, 'train_accuracy': 0.4846376811594203, 'train_precision': 0.5856916864990064, 'train_recall': 0.4774457912457913, 'train_f1': 0.4344529949808872, 'train_image_accuracy': 0.4782608695652174, 'train_image_precision': 0.5718426501035198, 'train_image_recall': 0.4644444444444445, 'train_image_f1': 0.4167557932263815, 'val_loss': 1.5725120464960733, 'val_accuracy': 0.2551851851851852, 'val_precision': 0.11255192904735219, 'val_recall': 0.22966666666666669, 'val_f1': 0.12698282302017955, 'val_image_accuracy': 0.2222222222222222, 'val_image_precision': 0.05714285714285714, 'val_image_recall': 0.2, 'val_image_f1': 0.08888888888888888}
2026-09-07 22:45:31,377 | INFO | src.trainer.client.client_6 | Round 1 local test metrics: loss=1.530407 metrics={'test_accuracy': 0.217, 'test_precision': 0.404245500278233, 'test_recall': 0.217, 'test_f1': 0.18169351936283148, 'test_image_accuracy': 0.2, 'test_image_precision': 0.12857142857142856, 'test_image_recall': 0.2, 'test_image_f1': 0.14444444444444443}
2026-09-07 22:49:38,493 | INFO | src.trainer.client.client_6 | Round 2 learning rate set to 9.99773e-05
2026-09-07 22:49:38,493 | INFO | src.trainer.client.client_6 | Starting local training for round 2
2026-09-07 22:50:09,872 | INFO | src.trainer.client.client_6 | Round 2 local epoch 1/1 (global_epoch 1): train_loss=1.420512
2026-09-07 22:50:37,946 | INFO | src.trainer.client.client_6 | Round 2 local fit metrics: {'train_loss': 1.4205124357472296, 'lr': 9.997734440724333e-05, 'train_accuracy': 0.6038405797101449, 'train_precision': 0.6668719993248391, 'train_recall': 0.5942154882154882, 'train_f1': 0.5713244871711598, 'train_image_accuracy': 0.5652173913043478, 'train_image_precision': 0.668974358974359, 'train_image_recall': 0.5533333333333333, 'train_image_f1': 0.5123900293255133, 'val_loss': 1.5294397366488421, 'val_accuracy': 0.31148148148148147, 'val_precision': 0.37151865097117387, 'val_recall': 0.2803333333333333, 'val_f1': 0.22084200466728826, 'val_image_accuracy': 0.2222222222222222, 'val_image_precision': 0.05714285714285714, 'val_image_recall': 0.2, 'val_image_f1': 0.08888888888888888}
2026-09-07 22:50:49,472 | INFO | src.trainer.client.client_6 | Round 2 local test metrics: loss=1.369242 metrics={'test_accuracy': 0.281, 'test_precision': 0.2972711322206696, 'test_recall': 0.281, 'test_f1': 0.2565073442487361, 'test_image_accuracy': 0.4, 'test_image_precision': 0.35, 'test_image_recall': 0.4, 'test_image_f1': 0.3333333333333333}
2026-09-07 22:55:04,601 | INFO | src.trainer.client.client_6 | Round 3 learning rate set to 9.99094e-05
