2026-09-13 02:17:17,647 | INFO | src.trainer.trainer | Epoch 4/60 val_f1=0.3638000306088721 val_image_f1=0.36838383838383837
2026-09-13 02:17:17,647 | INFO | src.trainer.trainer | Epoch 5/60 learning rate set to 9.89832e-05
2026-09-13 02:24:52,202 | INFO | src.trainer.trainer | Epoch 5/60 train_loss=0.693062
2026-09-13 02:25:10,176 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-13 02:25:10: {'train_loss': 0.69306231078167, 'lr': 9.8983152541804e-05, 'val_loss': 1.801905121249065, 'val_accuracy': 0.4091666666666667, 'val_precision': 0.3604014503305254, 'val_recall': 0.3576799564270153, 'val_f1': 0.34458296679930484, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.3757575757575758, 'val_image_recall': 0.3831372549019608, 'val_image_f1': 0.34861483746178323}
2026-09-13 02:25:10,176 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.34458296679930484 val_image_f1=0.34861483746178323
2026-09-13 02:25:10,176 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-13 02:32:46,314 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=0.658209
2026-09-13 02:33:04,313 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-13 02:33:04: {'train_loss': 0.6582087624258878, 'lr': 9.841455409665323e-05, 'val_loss': 1.7726058101340345, 'val_accuracy': 0.4125, 'val_precision': 0.35751936310654964, 'val_recall': 0.35239346405228755, 'val_f1': 0.3434505389434853, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.36270353302611363, 'val_image_recall': 0.3733333333333333, 'val_image_f1': 0.34571428571428575}
2026-09-13 02:33:04,313 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.3434505389434853 val_image_f1=0.34571428571428575
2026-09-13 02:33:04,313 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-13 02:40:38,624 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=0.631118
2026-09-13 02:40:56,608 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-13 02:40:56: {'train_loss': 0.6311179661644594, 'lr': 9.772289238107717e-05, 'val_loss': 1.7761812918646294, 'val_accuracy': 0.42596491228070177, 'val_precision': 0.3700881736092195, 'val_recall': 0.36654270152505447, 'val_f1': 0.34743887259761497, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.3659090909090909, 'val_image_recall': 0.3530718954248366, 'val_image_f1': 0.3319444444444445}
2026-09-13 02:40:56,608 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.34743887259761497 val_image_f1=0.3319444444444445
2026-09-13 02:40:56,609 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 9.69101e-05
2026-09-13 02:48:30,692 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=0.608538
2026-09-13 02:48:48,608 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-13 02:48:48: {'train_loss': 0.6085384629829423, 'lr': 9.691012798535524e-05, 'val_loss': 1.773108810646492, 'val_accuracy': 0.44666666666666666, 'val_precision': 0.3749736881587703, 'val_recall': 0.3851420479302832, 'val_f1': 0.360401027541528, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.3978354978354978, 'val_image_recall': 0.4201960784313726, 'val_image_f1': 0.3778730158730159}
2026-09-13 02:48:48,608 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.360401027541528 val_image_f1=0.3778730158730159
2026-09-13 02:48:48,608 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 9.59786e-05
2026-09-13 02:56:24,935 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=0.592324
2026-09-13 02:56:42,862 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-13 02:56:42: {'train_loss': 0.5923239782569846, 'lr': 9.597856477847111e-05, 'val_loss': 1.7995710854676732, 'val_accuracy': 0.43276315789473685, 'val_precision': 0.36341389475733155, 'val_recall': 0.3730651416122005, 'val_f1': 0.3433125236065441, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4074549846288977, 'val_image_recall': 0.4319607843137255, 'val_image_f1': 0.38612168319485385}
2026-09-13 02:56:42,862 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.3433125236065441 val_image_f1=0.38612168319485385
2026-09-13 02:56:42,862 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 9.49308e-05
2026-09-13 03:04:26,236 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=0.579269
2026-09-13 03:04:44,307 | INFO | src.trainer.trainer | Epoch 10: new best val_f1 0.3822, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_reg/model_best.pt
2026-09-13 03:04:44,309 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-13 03:04:44: {'train_loss': 0.5792687832663125, 'lr': 9.493084337754573e-05, 'val_loss': 1.6470943407845078, 'val_accuracy': 0.4692982456140351, 'val_precision': 0.3973708400595014, 'val_recall': 0.40338736383442264, 'val_f1': 0.3822397423896406, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.4216233766233766, 'val_image_recall': 0.4437254901960784, 'val_image_f1': 0.3961904761904762}
2026-09-13 03:04:44,309 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.3822397423896406 val_image_f1=0.3961904761904762
2026-09-13 03:04:44,309 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
2026-09-13 03:12:22,365 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=0.567764
2026-09-13 03:12:40,327 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-13 03:12:40: {'train_loss': 0.5677643632711794, 'lr': 9.376993366272128e-05, 'val_loss': 1.8582543616964107, 'val_accuracy': 0.419780701754386, 'val_precision': 0.36366902724407213, 'val_recall': 0.36172745098039216, 'val_f1': 0.34241560862639153, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4305555555555555, 'val_image_recall': 0.42150326797385623, 'val_image_f1': 0.3802785265049416}
2026-09-13 03:12:40,327 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.34241560862639153 val_image_f1=0.3802785265049416
2026-09-13 03:12:40,327 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
2026-09-13 03:20:16,600 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.560924
2026-09-13 03:20:34,582 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-13 03:20:34: {'train_loss': 0.5609241473453525, 'lr': 9.249912635871318e-05, 'val_loss': 1.7197706982963963, 'val_accuracy': 0.46416666666666667, 'val_precision': 0.3880097634316063, 'val_recall': 0.3990152505446623, 'val_f1': 0.3651927827078115, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.44163875205254516, 'val_image_recall': 0.4408496732026144, 'val_image_f1': 0.4065006740815639}
2026-09-13 03:20:34,583 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.3651927827078115 val_image_f1=0.4065006740815639
2026-09-13 03:20:34,583 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-13 03:28:09,737 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.552055
2026-09-13 03:28:27,717 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-13 03:28:27: {'train_loss': 0.5520547530203284, 'lr': 9.112202370689337e-05, 'val_loss': 1.816364410226805, 'val_accuracy': 0.41578947368421054, 'val_precision': 0.34629165365097053, 'val_recall': 0.3577239651416122, 'val_f1': 0.33587180819218626, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.3797979797979798, 'val_image_recall': 0.38640522875816996, 'val_image_f1': 0.358034188034188}
2026-09-13 03:28:27,717 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.33587180819218626 val_image_f1=0.358034188034188
2026-09-13 03:28:27,717 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-13 03:36:03,195 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=0.542536
2026-09-13 03:36:21,123 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-13 03:36:21: {'train_loss': 0.5425360401701556, 'lr': 8.964252925434579e-05, 'val_loss': 1.7088018420390916, 'val_accuracy': 0.48328947368421055, 'val_precision': 0.409363227772109, 'val_recall': 0.41636274509803917, 'val_f1': 0.3713699852222959, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.4304509803921569, 'val_image_recall': 0.44307189542483655, 'val_image_f1': 0.38674976562920416}
2026-09-13 03:36:21,123 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.3713699852222959 val_image_f1=0.38674976562920416
2026-09-13 03:36:21,123 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-13 03:43:58,968 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=0.538734
2026-09-13 03:44:16,912 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-13 03:44:16: {'train_loss': 0.5387339474638038, 'lr': 8.806483678883803e-05, 'val_loss': 1.8098459365284234, 'val_accuracy': 0.41754385964912283, 'val_precision': 0.3557195239029291, 'val_recall': 0.36040936819172115, 'val_f1': 0.3372761479698433, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3928342245989304, 'val_image_recall': 0.3984313725490196, 'val_image_f1': 0.3580348583877995}
2026-09-13 03:44:16,913 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.3372761479698433 val_image_f1=0.3580348583877995
2026-09-13 03:44:16,913 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-13 03:51:52,207 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=0.531253
2026-09-13 03:52:10,226 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-13 03:52:10: {'train_loss': 0.5312530115434835, 'lr': 8.639341845107433e-05, 'val_loss': 1.8530536888356794, 'val_accuracy': 0.4271052631578947, 'val_precision': 0.3441645910626997, 'val_recall': 0.36988605664488017, 'val_f1': 0.3313347893542227, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.33759129759129763, 'val_image_recall': 0.3773202614379085, 'val_image_f1': 0.32419580419580424}
2026-09-13 03:52:10,226 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.3313347893542227 val_image_f1=0.32419580419580424
2026-09-13 03:52:10,226 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
2026-09-13 03:59:46,431 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=0.527231
2026-09-13 04:00:04,403 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-13 04:00:04: {'train_loss': 0.5272311492238827, 'lr': 8.463301205792675e-05, 'val_loss': 1.6642140153102707, 'val_accuracy': 0.48723684210526313, 'val_precision': 0.39972505281225235, 'val_recall': 0.41953180827886716, 'val_f1': 0.3699310498402977, 'val_image_accuracy': 0.5263157894736842, 'val_image_precision': 0.43334535834535837, 'val_image_recall': 0.4548366013071895, 'val_image_f1': 0.39641269841269844}
2026-09-13 04:00:04,403 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.3699310498402977 val_image_f1=0.39641269841269844
2026-09-13 04:00:04,403 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-13 04:07:42,125 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=0.521883
2026-09-13 04:08:00,057 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-13 04:08:00: {'train_loss': 0.5218832073728509, 'lr': 8.278860767257865e-05, 'val_loss': 1.6756068248706952, 'val_accuracy': 0.4654385964912281, 'val_precision': 0.380405686780379, 'val_recall': 0.4024851851851851, 'val_f1': 0.35952618129794356, 'val_image_accuracy': 0.5, 'val_image_precision': 0.3874458874458874, 'val_image_recall': 0.4348366013071895, 'val_image_f1': 0.3658483835005574}
2026-09-13 04:08:00,057 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.35952618129794356 val_image_f1=0.3658483835005574
2026-09-13 04:08:00,057 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-13 04:15:37,342 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=0.518633
2026-09-13 04:15:55,266 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-13 04:15:55: {'train_loss': 0.5186332958259667, 'lr': 8.086543345964832e-05, 'val_loss': 2.141811308139249, 'val_accuracy': 0.3267543859649123, 'val_precision': 0.276115601322954, 'val_recall': 0.2808054466230937, 'val_f1': 0.27176526036955695, 'val_image_accuracy': 0.3157894736842105, 'val_image_precision': 0.26551892551892553, 'val_image_recall': 0.2718300653594771, 'val_image_f1': 0.2615873015873016}
2026-09-13 04:15:55,266 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.27176526036955695 val_image_f1=0.2615873015873016
2026-09-13 04:15:55,266 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-13 04:23:28,619 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=0.514722
2026-09-13 04:23:46,625 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-13 04:23:46: {'train_loss': 0.5147219299367383, 'lr': 7.886894086538841e-05, 'val_loss': 1.7354732160191786, 'val_accuracy': 0.4591228070175439, 'val_precision': 0.3811365362602554, 'val_recall': 0.397440522875817, 'val_f1': 0.3660840791595727, 'val_image_accuracy': 0.5657894736842105, 'val_image_precision': 0.47561904761904766, 'val_image_recall': 0.48660130718954253, 'val_image_f1': 0.4495594315245478}
2026-09-13 04:23:46,625 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.3660840791595727 val_image_f1=0.4495594315245478
2026-09-13 04:23:46,625 | INFO | src.trainer.trainer | Epoch 21/60 learning rate set to 7.68048e-05
2026-09-13 04:31:20,281 | INFO | src.trainer.trainer | Epoch 21/60 train_loss=0.509754
2026-09-13 04:31:38,263 | INFO | src.trainer.history | Epoch 21 metrics saved at 2026-09-13 04:31:38: {'train_loss': 0.5097544130255933, 'lr': 7.680478916496926e-05, 'val_loss': 1.8158066588431074, 'val_accuracy': 0.446359649122807, 'val_precision': 0.3699900132566175, 'val_recall': 0.3857636165577342, 'val_f1': 0.34154430541525616, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.40205128205128204, 'val_image_recall': 0.41039215686274505, 'val_image_f1': 0.36345864661654137}
2026-09-13 04:31:38,263 | INFO | src.trainer.trainer | Epoch 21/60 val_f1=0.34154430541525616 val_image_f1=0.36345864661654137
2026-09-13 04:31:38,263 | INFO | src.trainer.trainer | Epoch 22/60 learning rate set to 7.46788e-05
2026-09-13 04:39:18,425 | INFO | src.trainer.trainer | Epoch 22/60 train_loss=0.508158
2026-09-13 04:39:36,427 | INFO | src.trainer.history | Epoch 22 metrics saved at 2026-09-13 04:39:36: {'train_loss': 0.5081581790339266, 'lr': 7.46788294206485e-05, 'val_loss': 1.7942592595334639, 'val_accuracy': 0.45649122807017545, 'val_precision': 0.38386623600977926, 'val_recall': 0.3979355119825708, 'val_f1': 0.36145590156107527, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4156190476190476, 'val_image_recall': 0.4295424836601307, 'val_image_f1': 0.3879861454725383}
2026-09-13 04:39:36,427 | INFO | src.trainer.trainer | Epoch 22/60 val_f1=0.36145590156107527 val_image_f1=0.3879861454725383
2026-09-13 04:39:36,427 | INFO | src.trainer.trainer | Epoch 23/60 learning rate set to 7.24971e-05
2026-09-13 04:47:12,640 | INFO | src.trainer.trainer | Epoch 23/60 train_loss=0.503332
2026-09-13 04:47:30,579 | INFO | src.trainer.history | Epoch 23 metrics saved at 2026-09-13 04:47:30: {'train_loss': 0.5033316859034317, 'lr': 7.249708789629944e-05, 'val_loss': 1.8260786739148591, 'val_accuracy': 0.4335964912280702, 'val_precision': 0.35772870305192817, 'val_recall': 0.3717429193899782, 'val_f1': 0.34793545240328305, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.398, 'val_image_recall': 0.41954248366013075, 'val_image_f1': 0.3745948705698915}
2026-09-13 04:47:30,579 | INFO | src.trainer.trainer | Epoch 23/60 val_f1=0.34793545240328305 val_image_f1=0.3745948705698915
2026-09-13 04:47:30,579 | INFO | src.trainer.trainer | Epoch 24/60 learning rate set to 7.02657e-05
2026-09-13 04:55:05,413 | INFO | src.trainer.trainer | Epoch 24/60 train_loss=0.502477
2026-09-13 04:55:23,359 | INFO | src.trainer.history | Epoch 24 metrics saved at 2026-09-13 04:55:23: {'train_loss': 0.5024772643547369, 'lr': 7.026574897531136e-05, 'val_loss': 1.8176366690794628, 'val_accuracy': 0.4346052631578947, 'val_precision': 0.3598984071489511, 'val_recall': 0.3737638344226579, 'val_f1': 0.35047302114587897, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.398768115942029, 'val_image_recall': 0.4201960784313726, 'val_image_f1': 0.3824216165160638}
2026-09-13 04:55:23,360 | INFO | src.trainer.trainer | Epoch 24/60 val_f1=0.35047302114587897 val_image_f1=0.3824216165160638
2026-09-13 04:55:23,360 | INFO | src.trainer.trainer | Epoch 25/60 learning rate set to 6.79911e-05
2026-09-13 05:03:01,512 | INFO | src.trainer.trainer | Epoch 25/60 train_loss=0.499831
2026-09-13 05:03:19,463 | INFO | src.trainer.history | Epoch 25 metrics saved at 2026-09-13 05:03:19: {'train_loss': 0.4998314837021746, 'lr': 6.799113763028295e-05, 'val_loss': 1.7987753898323628, 'val_accuracy': 0.44785087719298244, 'val_precision': 0.37733778533849427, 'val_recall': 0.38616666666666666, 'val_f1': 0.3516087783340731, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4232478632478632, 'val_image_recall': 0.43084967320261436, 'val_image_f1': 0.3939017695437358}
2026-09-13 05:03:19,463 | INFO | src.trainer.trainer | Epoch 25/60 val_f1=0.3516087783340731 val_image_f1=0.3939017695437358
2026-09-13 05:03:19,463 | INFO | src.trainer.trainer | Epoch 26/60 learning rate set to 6.56797e-05
2026-09-13 05:10:59,548 | INFO | src.trainer.trainer | Epoch 26/60 train_loss=0.496619
