2026-08-24 21:14:11,114 | INFO | src.trainer.client.client_1 | Starting local training for round 1
2026-08-24 21:16:02,644 | INFO | src.trainer.client.client_1 | Round 1 local epoch 1/3: train_loss=0.950703
2026-08-24 21:17:57,165 | INFO | src.trainer.client.client_1 | Round 1 local epoch 2/3: train_loss=0.466788
2026-08-24 21:19:44,582 | INFO | src.trainer.client.client_1 | Round 1 local epoch 3/3: train_loss=0.290225
2026-08-24 21:23:01,387 | INFO | src.trainer.client.client_1 | Round 1 local fit metrics: {'train_loss': 0.2902247216232157, 'train_accuracy': 0.9208260869565218, 'train_precision': 0.9183917126677823, 'train_recall': 0.9229423232323232, 'train_f1': 0.91947427416996, 'train_image_accuracy': 0.9782608695652174, 'train_image_precision': 0.9818181818181818, 'train_image_recall': 0.9818181818181818, 'train_image_f1': 0.980952380952381, 'val_loss': 2.796220855788421, 'val_accuracy': 0.4070666666666667, 'val_precision': 0.4772146983257325, 'val_recall': 0.44128888888888884, 'val_f1': 0.41635126684405377, 'val_image_accuracy': 0.4, 'val_image_precision': 0.5166666666666667, 'val_image_recall': 0.4333333333333333, 'val_image_f1': 0.4371428571428571}
2026-08-24 21:59:07,634 | INFO | src.trainer.client.client_1 | Round 1 local test metrics: loss=1.275733 metrics={'test_accuracy': 0.4978181818181818, 'test_precision': 0.47986381188628213, 'test_recall': 0.42635555555555554, 'test_f1': 0.35300880035096227, 'test_image_accuracy': 0.5454545454545454, 'test_image_precision': 0.4, 'test_image_recall': 0.4666666666666666, 'test_image_f1': 0.3666666666666666}
2026-08-24 22:09:41,705 | INFO | src.trainer.client.client_1 | Starting local training for round 2
2026-08-24 22:11:31,171 | INFO | src.trainer.client.client_1 | Round 2 local epoch 1/3: train_loss=0.432705
2026-08-24 22:13:22,009 | INFO | src.trainer.client.client_1 | Round 2 local epoch 2/3: train_loss=0.235727
2026-08-24 22:15:11,980 | INFO | src.trainer.client.client_1 | Round 2 local epoch 3/3: train_loss=0.171706
2026-08-24 22:18:30,621 | INFO | src.trainer.client.client_1 | Round 2 local fit metrics: {'train_loss': 0.17170553795957336, 'train_accuracy': 0.9364492753623188, 'train_precision': 0.9325543773707066, 'train_recall': 0.9442361616161616, 'train_f1': 0.934653303165556, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 3.43606339047458, 'val_accuracy': 0.42046666666666666, 'val_precision': 0.4386431840161462, 'val_recall': 0.4452222222222223, 'val_f1': 0.40641154451465766, 'val_image_accuracy': 0.3, 'val_image_precision': 0.36666666666666664, 'val_image_recall': 0.36666666666666664, 'val_image_f1': 0.3133333333333333}
2026-08-24 22:47:04,478 | INFO | src.trainer.client.client_1 | Round 2 local test metrics: loss=1.255514 metrics={'test_accuracy': 0.5612121212121212, 'test_precision': 0.517064702128976, 'test_recall': 0.4901999999999999, 'test_f1': 0.4962468572981404, 'test_image_accuracy': 0.5454545454545454, 'test_image_precision': 0.5999999999999999, 'test_image_recall': 0.5, 'test_image_f1': 0.5199999999999999}
2026-08-24 23:13:51,238 | INFO | src.trainer.client.client_1 | Starting local training for round 3
2026-08-24 23:15:41,884 | INFO | src.trainer.client.client_1 | Round 3 local epoch 1/3: train_loss=0.279646
2026-08-24 23:17:32,763 | INFO | src.trainer.client.client_1 | Round 3 local epoch 2/3: train_loss=0.161787
2026-08-24 23:19:21,961 | INFO | src.trainer.client.client_1 | Round 3 local epoch 3/3: train_loss=0.126685
2026-08-24 23:22:38,950 | INFO | src.trainer.client.client_1 | Round 3 local fit metrics: {'train_loss': 0.12668539469368792, 'train_accuracy': 0.9219710144927536, 'train_precision': 0.9264255606685422, 'train_recall': 0.9266153535353535, 'train_f1': 0.9223515547215362, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 3.791896043289773, 'val_accuracy': 0.3791333333333333, 'val_precision': 0.42440125560826064, 'val_recall': 0.41848888888888885, 'val_f1': 0.3399479820080122, 'val_image_accuracy': 0.3, 'val_image_precision': 0.20666666666666664, 'val_image_recall': 0.36666666666666664, 'val_image_f1': 0.25}
2026-08-24 23:33:13,804 | INFO | src.trainer.client.client_1 | Round 3 local test metrics: loss=1.289754 metrics={'test_accuracy': 0.5644242424242424, 'test_precision': 0.4995488170568085, 'test_recall': 0.4912222222222223, 'test_f1': 0.48765184577707926, 'test_image_accuracy': 0.6363636363636364, 'test_image_precision': 0.5333333333333333, 'test_image_recall': 0.5666666666666667, 'test_image_f1': 0.5342857142857144}
2026-08-24 23:43:27,801 | INFO | src.trainer.client.client_1 | Starting local training for round 4
2026-08-24 23:45:18,668 | INFO | src.trainer.client.client_1 | Round 4 local epoch 1/3: train_loss=0.210002
2026-08-24 23:47:11,214 | INFO | src.trainer.client.client_1 | Round 4 local epoch 2/3: train_loss=0.126080
2026-08-24 23:48:58,369 | INFO | src.trainer.client.client_1 | Round 4 local epoch 3/3: train_loss=0.104546
