2026-08-24 21:49:19,426 | INFO | src.trainer.client.client_7 | Starting local training for round 1
2026-08-24 21:51:09,319 | INFO | src.trainer.client.client_7 | Round 1 local epoch 1/3: train_loss=1.018656
2026-08-24 21:52:57,103 | INFO | src.trainer.client.client_7 | Round 1 local epoch 2/3: train_loss=0.543404
2026-08-24 21:54:43,012 | INFO | src.trainer.client.client_7 | Round 1 local epoch 3/3: train_loss=0.381327
2026-08-24 21:57:45,243 | INFO | src.trainer.client.client_7 | Round 1 local fit metrics: {'train_loss': 0.38132707917543107, 'train_accuracy': 0.8523259259259259, 'train_precision': 0.8663957411242427, 'train_recall': 0.8516503703703704, 'train_f1': 0.8533200279720994, 'train_image_accuracy': 0.9555555555555556, 'train_image_precision': 0.9636363636363636, 'train_image_recall': 0.96, 'train_image_f1': 0.9589473684210524, 'val_loss': 1.096230187015677, 'val_accuracy': 0.6701481481481482, 'val_precision': 0.6930306629706229, 'val_recall': 0.6950000000000001, 'val_f1': 0.6493434258785824, 'val_image_accuracy': 0.6666666666666666, 'val_image_precision': 0.6, 'val_image_recall': 0.7, 'val_image_f1': 0.5999999999999999}
2026-08-24 22:00:50,674 | INFO | src.trainer.client.client_7 | Round 1 local test metrics: loss=1.605928 metrics={'test_accuracy': 0.23906666666666668, 'test_precision': 0.3653486348866178, 'test_recall': 0.2390666666666667, 'test_f1': 0.22176178221494083, 'test_image_accuracy': 0.2, 'test_image_precision': 0.16666666666666666, 'test_image_recall': 0.2, 'test_image_f1': 0.18}
2026-08-24 22:18:17,424 | INFO | src.trainer.client.client_7 | Starting local training for round 2
2026-08-24 22:20:03,012 | INFO | src.trainer.client.client_7 | Round 2 local epoch 1/3: train_loss=0.451309
2026-08-24 22:21:54,707 | INFO | src.trainer.client.client_7 | Round 2 local epoch 2/3: train_loss=0.268492
2026-08-24 22:23:42,278 | INFO | src.trainer.client.client_7 | Round 2 local epoch 3/3: train_loss=0.213967
2026-08-24 22:26:52,554 | INFO | src.trainer.client.client_7 | Round 2 local fit metrics: {'train_loss': 0.21396659522292055, 'train_accuracy': 0.9179703703703703, 'train_precision': 0.9196117514257687, 'train_recall': 0.9169511111111112, 'train_f1': 0.9176467842523257, 'train_image_accuracy': 0.9777777777777777, 'train_image_precision': 0.9818181818181818, 'train_image_recall': 0.9800000000000001, 'train_image_f1': 0.9799498746867169, 'val_loss': 1.2199196114636681, 'val_accuracy': 0.7532592592592593, 'val_precision': 0.7440706818060782, 'val_recall': 0.7722666666666667, 'val_f1': 0.7265632329726354, 'val_image_accuracy': 0.7777777777777778, 'val_image_precision': 0.6666666666666666, 'val_image_recall': 0.8, 'val_image_f1': 0.72}
