round,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,0.43625242718446605,0.36463648947869814,0.47572815533980584,0.36674988441978723,0.36084142394822005,0.4284789644012945,1.314052003883621,0.4191372356113964,0.40469902912621364,0.9090520146520146,0.9076331606215804,0.9736263736263736,0.9748163782750248,0.9787548861395017,0.9751297591297591,0.30647291443010244,0.9150146643998731,0.9073472514152514,0.5065616605616605,0.4664330852123984,0.5247374847374847,0.4626164311878598,0.45867399267399267,0.5191208791208791,2.107633380105777,0.5095353445318046,0.4999416361416361
2,0.5616504854368932,0.5231807587646422,0.5728155339805825,0.5239852057327785,0.5457928802588996,0.5511326860841423,1.254692557237548,0.5529343391553159,0.540764185544768,0.9389538461538462,0.9383674861952511,0.9912087912087912,0.9904335289413368,0.9916062984634413,0.9906080586080586,0.18259407346094342,0.9416152389292383,0.93872357005957,0.5225907041107042,0.47225703274270747,0.5445177045177044,0.4642846677132391,0.4455677655677656,0.5356043956043957,2.333186232004538,0.507647260643297,0.5108231013431014
3,0.6180388349514563,0.5805701652776536,0.6796116504854369,0.6134720295885345,0.6156957928802589,0.6530744336569579,1.1362083083427237,0.6063695540855861,0.5979829557713053,0.9435311355311355,0.943590568051273,0.9868131868131869,0.9875279342506234,0.9884515484515485,0.9883116883116884,0.13459454510227228,0.9479507173760066,0.94484414985015,0.5107138787138787,0.46361504134970716,0.5445177045177045,0.47436734693877547,0.45696703296703295,0.5389010989010989,2.552542163441287,0.4935521917318246,0.4972
4,0.6094239482200648,0.5768951361646636,0.6213592233009708,0.5771243643088303,0.5859223300970874,0.6035598705501618,1.1962384210617845,0.6015053166023436,0.5919262135922331,0.9719941391941391,0.9711482582463473,0.9978021978021978,0.9971989914847057,0.9981618381618382,0.9966300366300366,0.10893759247584221,0.9724767357207568,0.9704850595330596,0.5226877655677655,0.4835503415717787,0.5836141636141635,0.5132537938252224,0.489084249084249,0.5824175824175825,2.5927485451938113,0.5165345985679528,0.5157022222222222
5,0.6444271844660193,0.6105539923090543,0.6893203883495146,0.6389089227924178,0.671359223300971,0.6572815533980582,1.0794417287438345,0.6412855987635144,0.6232787486515641,0.9637934065934066,0.9635477883633315,1.0,1.0,1.0,1.0,0.09369381442398597,0.9669148705255384,0.96259932001332,0.5079264306064305,0.45475886968916635,0.5768498168498168,0.5052684458398744,0.5056703296703297,0.559047619047619,2.7540244955981357,0.4789233091437779,0.491810354090354
6,0.6615210355987055,0.6247832482328766,0.7184466019417476,0.6707720758206194,0.707346278317152,0.6925566343042071,1.0482216020922075,0.6535343713198254,0.6389337648327938,0.9756131868131868,0.9752661235047706,0.9978021978021978,0.9977953934610281,0.9978021978021978,0.9980219780219781,0.08259854460668652,0.9762083103514053,0.9752362406482407,0.5186693854293855,0.4706069662201396,0.5209768009768009,0.4553197278911565,0.4431062271062272,0.5186813186813187,2.6254345718956293,0.49372040888183005,0.5081876434676433
7,0.6330032362459548,0.6034675273335545,0.6990291262135923,0.663726306056403,0.6923948220064725,0.6822006472491909,1.1626559129100646,0.6325356257046205,0.6152418554476806,0.9670168498168498,0.9669542479220824,0.9956043956043956,0.9961750530171583,0.9965168165168166,0.9961838161838162,0.07382495347520973,0.9678685566997377,0.967547694823695,0.5361553113553114,0.49286046489132307,0.564078144078144,0.4902501308215594,0.47882051282051286,0.5596336996336996,2.527015468035762,0.5277822476871349,0.5282882051282051
8,0.6238511326860843,0.5918447237415746,0.6699029126213593,0.6370596393897364,0.6674757281553398,0.6546925566343043,1.1928028518840514,0.6222182551766905,0.6057527508090613,0.9402725274725275,0.9396864865889679,0.9692307692307692,0.9690843176790171,0.9757655677655678,0.9709561549561551,0.06729932848014783,0.9476305610165168,0.9416143120583119,0.5396453724053724,0.48074979584271643,0.5724297924297923,0.4788759811616954,0.45995604395604395,0.559047619047619,2.6097959194241023,0.5188116568147545,0.5226081562881564
9,0.6522847896440129,0.618145048952753,0.7378640776699029,0.7018215441516411,0.7296116504854369,0.7194174757281553,1.185480853019779,0.6429841748257189,0.6323618122977347,0.9763970695970696,0.9763936450802505,0.9956043956043956,0.9950705935668341,0.995956043956044,0.9947918747918748,0.06180235782373009,0.9766161016207758,0.9771777125837127,0.4944184615384616,0.44875187480461803,0.49018315018315023,0.42094191522762947,0.41658608058608054,0.48234432234432234,3.2542043002895538,0.47160991988264894,0.48521074481074483
10,0.6401100323624594,0.6088294721765276,0.6990291262135923,0.6607212205270457,0.693042071197411,0.6770226537216829,1.1917322527127905,0.6340132198036929,0.6214957928802589,0.9784761904761904,0.9790790656330897,0.9978021978021978,0.9979314802844215,0.9983150183150183,0.9977533577533577,0.05723776659224823,0.9793809289259565,0.9794574316054315,0.5292842979242979,0.4830769040029523,0.5847374847374847,0.5131135531135532,0.4991208791208791,0.5756776556776557,2.8542932758283293,0.4988951482445798,0.5189437851037851
