2026-08-24 21:40:07,814 | INFO | src.trainer.client.client_5 | Starting local training for round 1
2026-08-24 21:41:53,770 | INFO | src.trainer.client.client_5 | Round 1 local epoch 1/3: train_loss=0.825809
2026-08-24 21:43:44,185 | INFO | src.trainer.client.client_5 | Round 1 local epoch 2/3: train_loss=0.379379
2026-08-24 21:45:35,513 | INFO | src.trainer.client.client_5 | Round 1 local epoch 3/3: train_loss=0.257596
2026-08-24 21:48:51,812 | INFO | src.trainer.client.client_5 | Round 1 local fit metrics: {'train_loss': 0.2575957270880828, 'train_accuracy': 0.9368985507246377, 'train_precision': 0.9397087842496472, 'train_recall': 0.9296251851851853, 'train_f1': 0.9333665497682795, 'train_image_accuracy': 0.9782608695652174, 'train_image_precision': 0.9818181818181818, 'train_image_recall': 0.9666666666666666, 'train_image_f1': 0.9722943722943723, 'val_loss': 2.273245948147774, 'val_accuracy': 0.5042, 'val_precision': 0.44446664182807616, 'val_recall': 0.5041999999999999, 'val_f1': 0.4682492498774712, 'val_image_accuracy': 0.5, 'val_image_precision': 0.45, 'val_image_recall': 0.5, 'val_image_f1': 0.4666666666666667}
2026-08-24 22:00:20,874 | INFO | src.trainer.client.client_5 | Round 1 local test metrics: loss=1.207650 metrics={'test_accuracy': 0.3979333333333333, 'test_precision': 0.5193225400838236, 'test_recall': 0.39793333333333336, 'test_f1': 0.39543935169575634, 'test_image_accuracy': 0.5, 'test_image_precision': 0.4666666666666666, 'test_image_recall': 0.5, 'test_image_f1': 0.44666666666666666}
2026-08-24 22:00:58,604 | INFO | src.trainer.client.client_5 | Starting local training for round 2
2026-08-24 22:02:47,013 | INFO | src.trainer.client.client_5 | Round 2 local epoch 1/3: train_loss=0.384244
2026-08-24 22:04:33,966 | INFO | src.trainer.client.client_5 | Round 2 local epoch 2/3: train_loss=0.205285
2026-08-24 22:06:23,940 | INFO | src.trainer.client.client_5 | Round 2 local epoch 3/3: train_loss=0.156701
2026-08-24 22:09:41,033 | INFO | src.trainer.client.client_5 | Round 2 local fit metrics: {'train_loss': 0.15670052112732533, 'train_accuracy': 0.9796376811594203, 'train_precision': 0.9801315782641206, 'train_recall': 0.9796623569023568, 'train_f1': 0.979862189907146, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 2.269615485768847, 'val_accuracy': 0.5080666666666667, 'val_precision': 0.47904112292234463, 'val_recall': 0.5080666666666667, 'val_f1': 0.4714734945306902, 'val_image_accuracy': 0.5, 'val_image_precision': 0.39999999999999997, 'val_image_recall': 0.5, 'val_image_f1': 0.44000000000000006}
