2026-08-25 00:26:49,785 | INFO | src.trainer.client.client_8 | Round 5 local epoch 3/3: train_loss=0.067161
2026-08-25 00:29:59,471 | INFO | src.trainer.client.client_8 | Round 5 local fit metrics: {'train_loss': 0.06716105261868165, 'train_accuracy': 0.9921629629629629, 'train_precision': 0.9914821685546512, 'train_recall': 0.9914459259259261, 'train_f1': 0.991453183399013, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 2.095042480914612, 'val_accuracy': 0.5814074074074074, 'val_precision': 0.5701156322026956, 'val_recall': 0.576, 'val_f1': 0.557087815622772, 'val_image_accuracy': 0.6666666666666666, 'val_image_precision': 0.5666666666666667, 'val_image_recall': 0.7, 'val_image_f1': 0.6133333333333333}
2026-08-25 01:07:50,040 | INFO | src.trainer.client.client_8 | Round 5 local test metrics: loss=1.184940 metrics={'test_accuracy': 0.587925925925926, 'test_precision': 0.6223320868581952, 'test_recall': 0.6258666666666667, 'test_f1': 0.6227328363833597, 'test_image_accuracy': 0.5555555555555556, 'test_image_precision': 0.6666666666666666, 'test_image_recall': 0.6, 'test_image_f1': 0.6133333333333333}
2026-08-25 01:08:06,826 | INFO | src.trainer.client.client_8 | Starting local training for round 6
2026-08-25 01:09:52,787 | INFO | src.trainer.client.client_8 | Round 6 local epoch 1/3: train_loss=0.112392
2026-08-25 01:11:41,363 | INFO | src.trainer.client.client_8 | Round 6 local epoch 2/3: train_loss=0.073688
2026-08-25 01:13:30,374 | INFO | src.trainer.client.client_8 | Round 6 local epoch 3/3: train_loss=0.060159
2026-08-25 01:16:43,173 | INFO | src.trainer.client.client_8 | Round 6 local fit metrics: {'train_loss': 0.060159399709583804, 'train_accuracy': 0.9942074074074074, 'train_precision': 0.9932743275071371, 'train_recall': 0.9942903703703705, 'train_f1': 0.9937711390231797, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 2.288687377909733, 'val_accuracy': 0.5822222222222222, 'val_precision': 0.5570319779524435, 'val_recall': 0.5810666666666666, 'val_f1': 0.5591593450604243, 'val_image_accuracy': 0.5555555555555556, 'val_image_precision': 0.5, 'val_image_recall': 0.6, 'val_image_f1': 0.5333333333333333}
2026-08-25 01:53:22,190 | INFO | src.trainer.client.client_8 | Round 6 local test metrics: loss=1.148542 metrics={'test_accuracy': 0.5771851851851851, 'test_precision': 0.6010622971083688, 'test_recall': 0.6108, 'test_f1': 0.6021201893198717, 'test_image_accuracy': 0.6666666666666666, 'test_image_precision': 0.7666666666666666, 'test_image_recall': 0.7, 'test_image_f1': 0.7133333333333333}
2026-08-25 02:03:33,588 | INFO | src.trainer.client.client_8 | Starting local training for round 7
2026-08-25 02:05:24,758 | INFO | src.trainer.client.client_8 | Round 7 local epoch 1/3: train_loss=0.107893
2026-08-25 02:07:09,335 | INFO | src.trainer.client.client_8 | Round 7 local epoch 2/3: train_loss=0.071187
2026-08-25 02:08:56,324 | INFO | src.trainer.client.client_8 | Round 7 local epoch 3/3: train_loss=0.054109
2026-08-25 02:12:08,822 | INFO | src.trainer.client.client_8 | Round 7 local fit metrics: {'train_loss': 0.05410906038833437, 'train_accuracy': 0.9939407407407408, 'train_precision': 0.9940118527776889, 'train_recall': 0.9930281481481481, 'train_f1': 0.9935002522004984, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 2.228055992798764, 'val_accuracy': 0.5781481481481482, 'val_precision': 0.5389589496096983, 'val_recall': 0.5272, 'val_f1': 0.5094908901320958, 'val_image_accuracy': 0.5555555555555556, 'val_image_precision': 0.45, 'val_image_recall': 0.5, 'val_image_f1': 0.4666666666666666}
2026-08-25 02:38:41,390 | INFO | src.trainer.client.client_8 | Round 7 local test metrics: loss=1.350994 metrics={'test_accuracy': 0.5627407407407408, 'test_precision': 0.5946242018475236, 'test_recall': 0.6026, 'test_f1': 0.586278197409552, 'test_image_accuracy': 0.5555555555555556, 'test_image_precision': 0.5, 'test_image_recall': 0.6, 'test_image_f1': 0.54}
2026-08-25 03:15:57,813 | INFO | src.trainer.client.client_8 | Starting local training for round 8
2026-08-25 03:17:42,758 | INFO | src.trainer.client.client_8 | Round 8 local epoch 1/3: train_loss=0.086878
2026-08-25 03:19:29,043 | INFO | src.trainer.client.client_8 | Round 8 local epoch 2/3: train_loss=0.063490
2026-08-25 03:21:18,027 | INFO | src.trainer.client.client_8 | Round 8 local epoch 3/3: train_loss=0.051153
2026-08-25 03:24:28,720 | INFO | src.trainer.client.client_8 | Round 8 local fit metrics: {'train_loss': 0.05115252795410745, 'train_accuracy': 0.7760888888888889, 'train_precision': 0.821902242276475, 'train_recall': 0.780957037037037, 'train_f1': 0.7648251255901116, 'train_image_accuracy': 0.7777777777777778, 'train_image_precision': 0.8333333333333333, 'train_image_recall': 0.7866666666666667, 'train_image_f1': 0.7719280719280719, 'val_loss': 3.127582048006795, 'val_accuracy': 0.45896296296296296, 'val_precision': 0.5124524561796211, 'val_recall': 0.42033333333333334, 'val_f1': 0.3726639736780202, 'val_image_accuracy': 0.4444444444444444, 'val_image_precision': 0.3466666666666667, 'val_image_recall': 0.4, 'val_image_f1': 0.3276190476190476}
2026-08-25 03:26:35,862 | INFO | src.trainer.client.client_8 | Round 8 local test metrics: loss=1.458316 metrics={'test_accuracy': 0.5321481481481481, 'test_precision': 0.5690842606833432, 'test_recall': 0.5685333333333333, 'test_f1': 0.5526584228690841, 'test_image_accuracy': 0.4444444444444444, 'test_image_precision': 0.4666666666666666, 'test_image_recall': 0.5, 'test_image_f1': 0.48}
2026-08-25 03:54:16,231 | INFO | src.trainer.client.client_8 | Starting local training for round 9
2026-08-25 03:56:03,923 | INFO | src.trainer.client.client_8 | Round 9 local epoch 1/3: train_loss=0.076991
2026-08-25 03:57:50,803 | INFO | src.trainer.client.client_8 | Round 9 local epoch 2/3: train_loss=0.060715
2026-08-25 03:59:42,654 | INFO | src.trainer.client.client_8 | Round 9 local epoch 3/3: train_loss=0.047534
2026-08-25 04:02:53,721 | INFO | src.trainer.client.client_8 | Round 9 local fit metrics: {'train_loss': 0.047534095708694726, 'train_accuracy': 0.9894666666666667, 'train_precision': 0.9901512416590647, 'train_recall': 0.9881659259259259, 'train_f1': 0.9891027761199405, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 2.1524297166512483, 'val_accuracy': 0.5796296296296296, 'val_precision': 0.5413198853823183, 'val_recall': 0.5452, 'val_f1': 0.5378156619457031, 'val_image_accuracy': 0.5555555555555556, 'val_image_precision': 0.4666666666666666, 'val_image_recall': 0.5, 'val_image_f1': 0.48}
