round,lr,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,0.00010000000000000002,0.31093851132686084,0.22937151315721488,0.3300970873786408,0.24542597187758478,0.2620049710024855,0.2991106719367589,1.5189379984043947,0.27391016480522856,0.2813734079929732,0.4825860805860806,0.4648313593923768,0.4989010989010989,0.4803025186210627,0.4984094884256609,0.4841279950940254,1.5803712394560652,0.4801744216583673,0.4674852483518455,0.41604166666666664,0.38409458313649414,0.4375,0.3958795112247798,0.3988888888888889,0.4046365914786968,1.3873279203383089,0.3907470503161436,0.38977515759094705
2,9.997734440724332e-05,0.4481553398058252,0.3642122240570641,0.44660194174757284,0.329718908542438,0.33095238095238094,0.3968247694334651,1.2599285432204461,0.40482101098521933,0.4059315923207228,0.5681098901098901,0.5513325758345846,0.6,0.5822465949093042,0.6028826108263731,0.5827780366686729,1.4226468306321365,0.5676512109793107,0.5536140103337035,0.4548263888888889,0.4114905331058888,0.4895833333333333,0.4544987468671679,0.4779268873541319,0.4625085440874915,1.2747860706460927,0.42128764925608175,0.42298431685273796
3,9.990940044123479e-05,0.45679611650485435,0.4188266317748031,0.4854368932038835,0.4324588744588745,0.5100313059033988,0.4525014116318464,1.1608830932120289,0.4552364047675229,0.42945776083819565,0.5728424908424908,0.5625678317983484,0.5846153846153846,0.5776701272665917,0.5966194686424242,0.5748414163900486,1.3214426407447228,0.5748429811403585,0.5605116866057608,0.4089583333333333,0.3770178535045802,0.40625,0.3742110929215105,0.375441128072707,0.37936887673729774,1.334526728255195,0.3788245364786998,0.3819278119541278
4,9.979623651578882e-05,0.5235275080906149,0.5036905694009566,0.5533980582524272,0.5389365351629503,0.5558961038961038,0.5396932053453792,1.0613817556776275,0.5103887333000896,0.5043938954765042,0.6803809523809524,0.6690325474056324,0.7296703296703296,0.7195876355068226,0.7244471366710457,0.7172507674915455,1.2463095565243956,0.6714018142622219,0.6684081544040771,0.4655902777777778,0.4206058351048142,0.4895833333333333,0.43897243107769424,0.4466647387700019,0.45109364319890644,1.2324361542754507,0.4204291388864784,0.4302499810131389
5,9.96379665773858e-05,0.5335922330097087,0.5168079948036454,0.5728155339805825,0.5529697990074232,0.5807271557271558,0.5520478072651985,1.0490895007343353,0.5319302246196358,0.5186744494635799,0.6741978021978022,0.661962862371139,0.7098901098901099,0.6987382778938976,0.7014316692298006,0.7024878489848482,1.183034304463383,0.6652904583676535,0.6643078608057029,0.47197916666666667,0.42847446239493586,0.5104166666666666,0.47162111309170135,0.5009405725853094,0.4768512189564821,1.2284246014164963,0.44003890254066025,0.43809079516974253
6,9.943474999043775e-05,0.5566990291262136,0.5445038041827456,0.6019417475728155,0.5868263247573593,0.6107539682539682,0.5863335215509128,1.0057585467489791,0.5540048015524306,0.5458085607629086,0.7105201465201465,0.7001111293634301,0.7538461538461538,0.7441887211918123,0.7565142484650134,0.7476005502599744,1.1341813461247818,0.7112257371723525,0.704283253759273,0.4865625,0.45191573079669356,0.4895833333333333,0.4467958030669895,0.46563386269268625,0.46010480747322846,1.2037187573650576,0.46761532283935414,0.46023741171109595
7,9.918679137682179e-05,0.5616181229773463,0.545583212542486,0.6310679611650486,0.616989247311828,0.634741532976827,0.6201054018445322,0.9990662557638965,0.5591419930984951,0.5518900401530835,0.7464981684981685,0.7391784862986545,0.7978021978021979,0.7938071947632741,0.8070497096202665,0.7938277368523177,1.09610567850071,0.7521251443338925,0.7395731045739304,0.49975694444444446,0.4680153359911281,0.5,0.46953030416573,0.48476708476708474,0.4776372750056961,1.2197951591737783,0.4771159557486652,0.47725700615174305
8,9.889434040984333e-05,0.5618446601941748,0.5539614132736622,0.5922330097087378,0.5858053658053658,0.6044611528822055,0.5863768115942029,0.9679158457351734,0.5638603774697322,0.5575746345441998,0.7751501831501831,0.7711806159447591,0.8307692307692308,0.8283927560679762,0.8330316938750674,0.8305838093178078,1.0589938821722737,0.7752302829811836,0.7728790724052654,0.5046875,0.46584088388291695,0.5208333333333334,0.47891709254729103,0.48191850594227503,0.48881294144452037,1.2315679919890092,0.4703398640314268,0.47405335307966884
9,9.855769156283603e-05,0.574789644012945,0.5686244938019464,0.6213592233009708,0.6201652887715605,0.6345181795067378,0.6247967250141163,0.9414453791260333,0.5768710101510409,0.5731468348077045,0.802901098901099,0.7969473661645421,0.8703296703296703,0.8659468320181501,0.8668546195465499,0.8694427814899063,1.026701683133513,0.7970040554717165,0.801460974829334,0.5521527777777778,0.5178275399086325,0.5833333333333334,0.5384543504427342,0.5530312738367658,0.5450899977215766,1.1364725997355372,0.5243049521474148,0.5208015873015873
10,9.81771838126524e-05,0.5539805825242718,0.5468923963920295,0.5922330097087378,0.5840270543139984,0.6044444444444445,0.5847101449275363,0.9938716121476059,0.562398163835307,0.5499297195558065,0.7792600732600733,0.7742926479051234,0.8219780219780219,0.8186303064141576,0.8258338288217807,0.8266118467156405,1.0055020850569336,0.7782180910473306,0.7808706842723139,0.531875,0.5002445213674537,0.5729166666666666,0.5411499611499612,0.5421059332824039,0.5454431533378902,1.1970344437795828,0.49905098123734676,0.50394888736994
