2026-09-12 05:57:01,270 | INFO | src.trainer.trainer | Epoch 5/60 train_loss=1.176962
2026-09-12 05:57:03,065 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-12 05:57:03: {'train_loss': 1.176961924822665, 'lr': 9.8983152541804e-05, 'val_loss': 1.6701445482801973, 'val_accuracy': 0.37335526315789475, 'val_precision': 0.3193910410219073, 'val_recall': 0.32703703703703707, 'val_f1': 0.26933482628324257, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.3870445344129555, 'val_image_recall': 0.37117647058823533, 'val_image_f1': 0.29237324859165104}
2026-09-12 05:57:03,066 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.26933482628324257 val_image_f1=0.29237324859165104
2026-09-12 05:57:03,066 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-12 05:57:33,141 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=1.128146
2026-09-12 05:57:34,947 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-12 05:57:34: {'train_loss': 1.1281464907887606, 'lr': 9.841455409665323e-05, 'val_loss': 1.9668680523571216, 'val_accuracy': 0.24725877192982457, 'val_precision': 0.23954503648232936, 'val_recall': 0.2365495642701525, 'val_f1': 0.21145129916832786, 'val_image_accuracy': 0.23684210526315788, 'val_image_precision': 0.17543859649122806, 'val_image_recall': 0.20522875816993463, 'val_image_f1': 0.17939393939393938}
2026-09-12 05:57:34,947 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.21145129916832786 val_image_f1=0.17939393939393938
2026-09-12 05:57:34,947 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-12 05:58:04,821 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=1.097770
2026-09-12 05:58:06,625 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-12 05:58:06: {'train_loss': 1.0977696542307989, 'lr': 9.772289238107717e-05, 'val_loss': 1.7772196280328851, 'val_accuracy': 0.27960526315789475, 'val_precision': 0.26699541110294944, 'val_recall': 0.24443355119825702, 'val_f1': 0.24294855365659712, 'val_image_accuracy': 0.3157894736842105, 'val_image_precision': 0.27, 'val_image_recall': 0.27098039215686276, 'val_image_f1': 0.2599611757506494}
2026-09-12 05:58:06,626 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.24294855365659712 val_image_f1=0.2599611757506494
2026-09-12 05:58:06,626 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 9.69101e-05
2026-09-12 05:58:36,425 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=1.059493
2026-09-12 05:58:38,225 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-12 05:58:38: {'train_loss': 1.059493352681863, 'lr': 9.691012798535524e-05, 'val_loss': 1.6761111653687661, 'val_accuracy': 0.32456140350877194, 'val_precision': 0.27387245701498886, 'val_recall': 0.30800381263616555, 'val_f1': 0.27270175483985476, 'val_image_accuracy': 0.35526315789473684, 'val_image_precision': 0.256025641025641, 'val_image_recall': 0.3073856209150327, 'val_image_f1': 0.2647707641196014}
2026-09-12 05:58:38,225 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.27270175483985476 val_image_f1=0.2647707641196014
2026-09-12 05:58:38,225 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 9.59786e-05
2026-09-12 05:59:07,974 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=1.028448
2026-09-12 05:59:09,776 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-12 05:59:09: {'train_loss': 1.0284480914949221, 'lr': 9.597856477847111e-05, 'val_loss': 1.7620184220242918, 'val_accuracy': 0.30043859649122806, 'val_precision': 0.27134126097994204, 'val_recall': 0.3025190631808279, 'val_f1': 0.26179122107745223, 'val_image_accuracy': 0.3026315789473684, 'val_image_precision': 0.2855263157894737, 'val_image_recall': 0.3350326797385621, 'val_image_f1': 0.2781898656898657}
2026-09-12 05:59:09,777 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.26179122107745223 val_image_f1=0.2781898656898657
2026-09-12 05:59:09,777 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 9.49308e-05
2026-09-12 05:59:39,848 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=1.003417
2026-09-12 05:59:41,643 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-12 05:59:41: {'train_loss': 1.0034174575749024, 'lr': 9.493084337754573e-05, 'val_loss': 1.8260804634345205, 'val_accuracy': 0.33771929824561403, 'val_precision': 0.30203370019493536, 'val_recall': 0.287312091503268, 'val_f1': 0.2865514901914695, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.32615984405458087, 'val_image_recall': 0.3386928104575163, 'val_image_f1': 0.31733457595526565}
2026-09-12 05:59:41,643 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.2865514901914695 val_image_f1=0.31733457595526565
2026-09-12 05:59:41,643 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
2026-09-12 06:00:11,403 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=0.976636
2026-09-12 06:00:13,190 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-12 06:00:13: {'train_loss': 0.9766358709724726, 'lr': 9.376993366272128e-05, 'val_loss': 1.5668939874883283, 'val_accuracy': 0.375, 'val_precision': 0.3024997724011163, 'val_recall': 0.3286519607843137, 'val_f1': 0.28229579905225044, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.3960292580982236, 'val_image_recall': 0.36183006535947715, 'val_image_f1': 0.28504448742746613}
2026-09-12 06:00:13,190 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.28229579905225044 val_image_f1=0.28504448742746613
2026-09-12 06:00:13,190 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
2026-09-12 06:00:42,588 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.942474
2026-09-12 06:00:44,491 | INFO | src.trainer.trainer | Epoch 12: new best val_f1 0.2880, saved logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0/model_best.pt
2026-09-12 06:00:44,493 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-12 06:00:44: {'train_loss': 0.9424739726048181, 'lr': 9.249912635871318e-05, 'val_loss': 1.6433960005902408, 'val_accuracy': 0.35910087719298245, 'val_precision': 0.305444471263255, 'val_recall': 0.3088589324618736, 'val_f1': 0.2880170662195687, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.2881884057971015, 'val_image_recall': 0.34267973856209155, 'val_image_f1': 0.3001463414634147}
2026-09-12 06:00:44,493 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.2880170662195687 val_image_f1=0.3001463414634147
2026-09-12 06:00:44,493 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-12 06:01:14,818 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.929092
2026-09-12 06:01:16,621 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-12 06:01:16: {'train_loss': 0.9290923370461864, 'lr': 9.112202370689337e-05, 'val_loss': 1.9705840197571538, 'val_accuracy': 0.2878289473684211, 'val_precision': 0.26030939470962, 'val_recall': 0.2441476034858388, 'val_f1': 0.24494645877551666, 'val_image_accuracy': 0.32894736842105265, 'val_image_precision': 0.26341880341880347, 'val_image_recall': 0.27699346405228764, 'val_image_f1': 0.2604341285192349}
2026-09-12 06:01:16,621 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.24494645877551666 val_image_f1=0.2604341285192349
2026-09-12 06:01:16,621 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-12 06:01:46,425 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=0.898539
2026-09-12 06:01:48,245 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-12 06:01:48: {'train_loss': 0.8985393388057162, 'lr': 8.964252925434579e-05, 'val_loss': 1.749818168711244, 'val_accuracy': 0.3404605263157895, 'val_precision': 0.2953439337264552, 'val_recall': 0.2899645969498911, 'val_f1': 0.2846729567091208, 'val_image_accuracy': 0.34210526315789475, 'val_image_precision': 0.2922222222222222, 'val_image_recall': 0.2909803921568627, 'val_image_f1': 0.27709948853324534}
2026-09-12 06:01:48,245 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.2846729567091208 val_image_f1=0.27709948853324534
2026-09-12 06:01:48,245 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-12 06:02:18,312 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=0.860632
2026-09-12 06:02:20,224 | INFO | src.trainer.trainer | Epoch 15: new best val_f1 0.3352, saved logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0/model_best.pt
2026-09-12 06:02:20,226 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-12 06:02:20: {'train_loss': 0.8606324829520697, 'lr': 8.806483678883803e-05, 'val_loss': 1.6610176537120551, 'val_accuracy': 0.4106359649122807, 'val_precision': 0.3492007918396377, 'val_recall': 0.3520724400871459, 'val_f1': 0.3351605870551551, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.3473809523809524, 'val_image_recall': 0.3626797385620915, 'val_image_f1': 0.3250461122801549}
2026-09-12 06:02:20,226 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.3351605870551551 val_image_f1=0.3250461122801549
2026-09-12 06:02:20,226 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-12 06:02:50,156 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=0.829786
2026-09-12 06:02:51,962 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-12 06:02:51: {'train_loss': 0.8297857003647394, 'lr': 8.639341845107433e-05, 'val_loss': 1.7873929806968623, 'val_accuracy': 0.3092105263157895, 'val_precision': 0.30204891233324405, 'val_recall': 0.271781045751634, 'val_f1': 0.27750244018884623, 'val_image_accuracy': 0.3026315789473684, 'val_image_precision': 0.29793956043956044, 'val_image_recall': 0.25745098039215686, 'val_image_f1': 0.2665401265401265}
2026-09-12 06:02:51,963 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.27750244018884623 val_image_f1=0.2665401265401265
2026-09-12 06:02:51,963 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
