2026-09-12 03:58:43,267 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-12 03:58:43: {'train_loss': 1.0322054406772023, 'lr': 9.8983152541804e-05, 'val_loss': 1.7859213330691919, 'val_accuracy': 0.31221804511278195, 'val_precision': 0.29748554269372157, 'val_recall': 0.28236974789915964, 'val_f1': 0.2688335217069194, 'val_image_accuracy': 0.35526315789473684, 'val_image_precision': 0.3054834054834054, 'val_image_recall': 0.30562091503267974, 'val_image_f1': 0.2753455433455433}
2026-09-12 03:58:43,267 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.2688335217069194 val_image_f1=0.2753455433455433
2026-09-12 03:58:43,267 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-12 04:00:06,504 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=0.970600
2026-09-12 04:00:10,990 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-12 04:00:10: {'train_loss': 0.9706000146083, 'lr': 9.841455409665323e-05, 'val_loss': 2.0022757359913417, 'val_accuracy': 0.23909774436090225, 'val_precision': 0.24812963058223086, 'val_recall': 0.210391223155929, 'val_f1': 0.21304937695514803, 'val_image_accuracy': 0.2236842105263158, 'val_image_precision': 0.1901571546732837, 'val_image_recall': 0.1943137254901961, 'val_image_f1': 0.17613730355665838}
2026-09-12 04:00:10,991 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.21304937695514803 val_image_f1=0.17613730355665838
2026-09-12 04:00:10,991 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-12 04:01:34,150 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=0.928958
2026-09-12 04:01:38,639 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-12 04:01:38: {'train_loss': 0.9289582868461354, 'lr': 9.772289238107717e-05, 'val_loss': 1.8260251069427433, 'val_accuracy': 0.32800751879699247, 'val_precision': 0.29053097223897356, 'val_recall': 0.29189635854341733, 'val_f1': 0.2690662317997847, 'val_image_accuracy': 0.32894736842105265, 'val_image_precision': 0.29107142857142854, 'val_image_recall': 0.28450980392156866, 'val_image_f1': 0.24882842025699164}
2026-09-12 04:01:38,639 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.2690662317997847 val_image_f1=0.24882842025699164
2026-09-12 04:01:38,639 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 9.69101e-05
2026-09-12 04:03:02,329 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=0.886806
2026-09-12 04:03:06,822 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-12 04:03:06: {'train_loss': 0.8868055034396832, 'lr': 9.691012798535524e-05, 'val_loss': 1.847560896416356, 'val_accuracy': 0.3580827067669173, 'val_precision': 0.2820972253467747, 'val_recall': 0.3098076563958917, 'val_f1': 0.27749930274158696, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.22292277614858264, 'val_image_recall': 0.3189542483660131, 'val_image_f1': 0.2567446490791438}
