round,lr,swa_test_accuracy,swa_test_f1,swa_test_image_accuracy,swa_test_image_f1,swa_test_image_precision,swa_test_image_recall,swa_test_loss,swa_test_precision,swa_test_recall,swa_val_accuracy,swa_val_f1,swa_val_image_accuracy,swa_val_image_f1,swa_val_image_precision,swa_val_image_recall,swa_val_loss,swa_val_precision,swa_val_recall,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,0.00010000000000000002,0.23300970873786409,0.07582938388625592,0.23300970873786409,0.07559055118110236,0.04660194174757282,0.2,1.5955745165402064,0.04678362573099415,0.2,0.22847222222222222,0.0755475918290815,0.22916666666666666,0.07457627118644068,0.04583333333333333,0.2,1.5952577630678813,0.08209385595234323,0.1993939393939394,0.23300970873786409,0.07582938388625592,0.23300970873786409,0.07559055118110238,0.04660194174757282,0.2,1.5955744555852946,0.04678362573099415,0.2,0.24351648351648353,0.15378267625451097,0.23956043956043957,0.1509696038133398,0.13931232721705158,0.2107274892171393,1.6539371277561117,0.1579048050948684,0.21411657331697626,0.25798611111111114,0.17058450546466436,0.2708333333333333,0.18313536057438495,0.35162393162393163,0.23966735019366597,1.590882550417722,0.34686844773820685,0.2282964988228146
2,9.997734440724332e-05,0.23042071197411004,0.08057980857737781,0.23300970873786409,0.07619047619047618,0.047058823529411764,0.2,1.5940173622088138,0.08619439868204284,0.19791062801932366,0.2267361111111111,0.07872919202729325,0.22916666666666666,0.07457627118644068,0.04583333333333333,0.2,1.5938196354442173,0.09148999539707037,0.19787878787878788,0.24207119741100325,0.13287321844621114,0.23300970873786409,0.12132132132132131,0.13047619047619047,0.2018445322793149,1.5922523339589438,0.1418420662140661,0.21006477821695216,0.315970695970696,0.23945937416913435,0.3252747252747253,0.24736614593303763,0.30272654047523156,0.2883503472164399,1.6341537580559982,0.288939760940535,0.27990771579753077,0.3059027777777778,0.2186378306965057,0.3229166666666667,0.22576612903225807,0.22236987818383164,0.283982683982684,1.585038103911369,0.23618006422666665,0.2694835573782942
3,9.99094004412348e-05,0.2313915857605178,0.07652438001275211,0.23300970873786409,0.07619047619047618,0.047058823529411764,0.2,1.590300244266547,0.17987380330722366,0.1986352657004831,0.23368055555555556,0.08292388207014553,0.22916666666666666,0.07457627118644068,0.04583333333333333,0.2,1.5896868745485941,0.4460411580048832,0.20409812409812406,0.3119741100323625,0.22033646651214314,0.32038834951456313,0.22598513436249287,0.19700009035872412,0.28471673254281954,1.5614781516269571,0.26871059706890577,0.2781504485852312,0.39296703296703295,0.3628586298513602,0.3934065934065934,0.35740896356490837,0.4001739108675525,0.3684689612710825,1.608441682473207,0.39456769606488695,0.37085449373072665,0.3121527777777778,0.24769940505854268,0.28125,0.22399310710498405,0.22411027568922304,0.2512189564821144,1.5536606156469892,0.24406928885278587,0.2793931799194957
4,9.97962365157888e-05,0.24174757281553397,0.10669207205982156,0.23300970873786409,0.09019354838709678,0.146,0.20036231884057973,1.5842768549533337,0.16355360292704454,0.2083574879227053,0.25625,0.12750485008868323,0.2604166666666667,0.12726741054251636,0.34835164835164834,0.22813852813852814,1.5824735164642334,0.2723932942987536,0.2244733044733045,0.34368932038834954,0.29808241974258426,0.33980582524271846,0.2925170068027211,0.2686428258648373,0.3281902879728967,1.503873407262043,0.27275390108004055,0.3350163121902252,0.456996336996337,0.4391711110797109,0.48131868131868133,0.4610625182328332,0.47261298954020103,0.46810596597210835,1.5687818161297196,0.4499320379607467,0.44725156739802896,0.3798611111111111,0.3485280016866869,0.3854166666666667,0.35325428060311775,0.36116130246565026,0.3610161768056505,1.4932645076527364,0.3554788556761806,0.3562307283359915
5,9.963796657738583e-05,0.2715210355987055,0.1636651951076577,0.27184466019417475,0.16236147886633323,0.1692484730459414,0.2370553359683794,1.5758074871544698,0.16782503770739066,0.23672595520421608,0.275,0.16865689586221888,0.2708333333333333,0.15173205550564042,0.2157142857142857,0.23766233766233763,1.5731486413213942,0.2252455212673497,0.24167388167388165,0.3346278317152104,0.2879272213297778,0.3592233009708738,0.30712189250395233,0.2827746965678,0.36498682476943345,1.460168101872441,0.26486380520992203,0.33962701549658075,0.47802197802197804,0.4601631334365881,0.4967032967032967,0.47499076163269394,0.4932140950050833,0.4907186877107487,1.536105745319045,0.47072727229776834,0.4760210511332046,0.34479166666666666,0.3067855042876954,0.3333333333333333,0.29462962962962963,0.3035582010582011,0.3206994759626339,1.4696439885200405,0.3252600734548065,0.33076858813700916
6,9.943474999043775e-05,0.3187702265372168,0.21552058323329332,0.3106796116504854,0.20683760683760682,0.17918223550763318,0.2733201581027668,1.5661930692234471,0.1893211556435208,0.2808695652173913,0.32395833333333335,0.2256950642814716,0.3125,0.2138907469342252,0.24644257703081235,0.2753246753246753,1.5620706028408475,0.23537657912276827,0.2852380952380952,0.3546925566343042,0.311605213996344,0.36893203883495146,0.32456400742115027,0.3148136262064375,0.38929983060417844,1.4385689957242183,0.46057675252812036,0.37357610264131996,0.5147985347985348,0.4960339378319002,0.5252747252747253,0.5029238465552746,0.5574715594483036,0.539816481950914,1.5059330670737519,0.5382281891767683,0.5265099066877347,0.38055555555555554,0.34759502260041053,0.3854166666666667,0.3483213948549623,0.37581622678396875,0.3737297789929369,1.44803868243672,0.4252787729138355,0.3680470114680641
7,9.918679137682179e-05,0.34336569579288023,0.24056720754434177,0.3300970873786408,0.2274865245305043,0.19409363745498198,0.2918642951251647,1.5548125747723873,0.2043400365348787,0.30455643390426,0.36354166666666665,0.2623997112573112,0.3854166666666667,0.2779150579150579,0.2624908424908425,0.33982683982683987,1.5497831437322829,0.24400558872742587,0.3206926406926407,0.37702265372168287,0.3267563155982563,0.3883495145631068,0.33225108225108224,0.31451754385964914,0.3967297195558065,1.394531833585412,0.39046100325985866,0.3809612271786185,0.5467399267399268,0.5325684693674078,0.5934065934065934,0.5827008819380421,0.6068871851919535,0.5978193593248501,1.482186070466653,0.5531158322960489,0.5490932155615497,0.41631944444444446,0.3763442575002638,0.4270833333333333,0.3896475779500989,0.42000000000000004,0.4142629300524037,1.3727477012381206,0.39541676518402163,0.40078149920255185
8,9.889434040984333e-05,0.3585760517799353,0.2562180076908385,0.34951456310679613,0.247965367965368,0.21155511155511153,0.3107707509881423,1.5440848207782387,0.415567884977109,0.3196513269339356,0.38055555555555554,0.2751354867176431,0.375,0.26815315315315313,0.2413533834586466,0.3307359307359307,1.537856121857961,0.24849277935539585,0.33594516594516594,0.37216828478964403,0.3380456096395233,0.3786407766990291,0.34725391086203056,0.5206778149386846,0.38811970638057597,1.4055678280426074,0.4726348953732481,0.38552239789196313,0.5432967032967033,0.527582764684933,0.5626373626373626,0.5472160376577198,0.6175959400367368,0.5773390917818872,1.4500528913889175,0.5784254119248289,0.5577556978028521,0.39652777777777776,0.36151774417717353,0.4375,0.39265603355210993,0.5473522267206479,0.42805878332194125,1.398244902214482,0.4288059059433317,0.3901199969621022
9,9.855769156283603e-05,0.36666666666666664,0.27218113614713035,0.3883495145631068,0.2976659038901602,0.4326745718050066,0.3519009975531715,1.5333920302128714,0.35407088544217424,0.3296014492753624,0.3892361111111111,0.28137534165844447,0.3854166666666667,0.2782114183764496,0.2495116965705201,0.34025974025974026,1.5255418645011054,0.4521771302610541,0.34365535049745577,0.3851132686084142,0.36083651530876165,0.39805825242718446,0.3637572590011614,0.5398809523809524,0.42191887822322605,1.3740807517060956,0.44122448829883076,0.40306797791580407,0.5643223443223443,0.5544522764681987,0.6,0.591181719155664,0.6244492020242143,0.621071463954155,1.4352672292723325,0.580349441554048,0.5820556733135402,0.42986111111111114,0.4045264167758006,0.4479166666666667,0.4175003730669243,0.44693939393939397,0.43771929824561395,1.3291461098305715,0.4474231356704165,0.4200091136933242
10,9.81771838126524e-05,0.3724919093851133,0.28760387136562776,0.36893203883495146,0.28435330654000734,0.32291666666666663,0.3348720120459251,1.5225317895605341,0.30471882052248134,0.3382309116004768,0.39305555555555555,0.285137244410547,0.3958333333333333,0.2866501240694789,0.2553216374269006,0.34978354978354975,1.5133392175038656,0.45407463876546894,0.3470896939317992,0.4,0.3688507694263723,0.4368932038834951,0.393273255353329,0.5633427655159403,0.45824957651044607,1.3522469197855027,0.4426398702367469,0.41585303343998997,0.5888644688644689,0.5769590397021915,0.6153846153846154,0.6024091086636315,0.6288817186945712,0.629428462831939,1.4149495125340892,0.6006868337567713,0.6023537230899432,0.39895833333333336,0.3727656379963121,0.40625,0.37793639722028477,0.41893939393939383,0.40092276144907724,1.3597080323283732,0.3980721956070695,0.3975670236196552
