2026-09-13 08:53:16,235 | INFO | src.trainer.trainer | Epoch 5/60 learning rate set to 9.89832e-05
2026-09-13 08:55:16,635 | INFO | src.trainer.trainer | Epoch 5/60 train_loss=0.980642
2026-09-13 08:55:34,570 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-13 08:55:34: {'train_loss': 0.9806416829214684, 'lr': 9.8983152541804e-05, 'val_loss': 1.5811824599692696, 'val_accuracy': 0.40214912280701753, 'val_precision': 0.37498134268583255, 'val_recall': 0.34355991285403054, 'val_f1': 0.34391310048598284, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.4163636363636363, 'val_image_recall': 0.39666666666666667, 'val_image_f1': 0.37498480243161086}
2026-09-13 08:55:34,571 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.34391310048598284 val_image_f1=0.37498480243161086
2026-09-13 08:55:34,571 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-13 08:57:32,062 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=0.940110
2026-09-13 08:57:50,026 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-13 08:57:50: {'train_loss': 0.9401095743398801, 'lr': 9.841455409665323e-05, 'val_loss': 1.712590712235685, 'val_accuracy': 0.44530701754385965, 'val_precision': 0.35641404141908584, 'val_recall': 0.3843984749455338, 'val_f1': 0.3424949317329432, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.3858543417366947, 'val_image_recall': 0.4213071895424837, 'val_image_f1': 0.36526610644257695}
2026-09-13 08:57:50,026 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.3424949317329432 val_image_f1=0.36526610644257695
2026-09-13 08:57:50,026 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-13 08:59:48,927 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=0.910330
2026-09-13 09:00:06,967 | INFO | src.trainer.trainer | Epoch 7: new best val_f1 0.3601, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_cw/model_best.pt
