2026-09-06 23:00:57,103 | INFO | src.trainer.client.client_3 | Round 1 learning rate set to 0.0001
2026-09-06 23:00:57,103 | INFO | src.trainer.client.client_3 | Starting local training for round 1
2026-09-06 23:01:26,814 | INFO | src.trainer.client.client_3 | Round 1 local epoch 1/3: train_loss=1.401942
2026-09-06 23:01:56,582 | INFO | src.trainer.client.client_3 | Round 1 local epoch 2/3: train_loss=1.099319
2026-09-06 23:02:27,988 | INFO | src.trainer.client.client_3 | Round 1 local epoch 3/3: train_loss=0.908344
2026-09-06 23:02:55,414 | INFO | src.trainer.client.client_3 | Round 1 local fit metrics: {'train_loss': 0.9083440397403858, 'lr': 0.0001, 'train_accuracy': 0.768962962962963, 'train_precision': 0.8087747112356473, 'train_recall': 0.7465265993265995, 'train_f1': 0.7616447054874034, 'train_image_accuracy': 0.8444444444444444, 'train_image_precision': 0.9044117647058822, 'train_image_recall': 0.8155555555555555, 'train_image_f1': 0.8365546218487394, 'val_loss': 1.03494961977005, 'val_accuracy': 0.53, 'val_precision': 0.5758509917184831, 'val_recall': 0.5227777777777778, 'val_f1': 0.5197477074519192, 'val_image_accuracy': 0.6, 'val_image_precision': 0.6, 'val_image_recall': 0.5666666666666667, 'val_image_f1': 0.5}
2026-09-06 23:03:09,099 | INFO | src.trainer.client.client_3 | Round 1 local test metrics: loss=1.211547 metrics={'test_accuracy': 0.4306060606060606, 'test_precision': 0.4480927779777204, 'test_recall': 0.3766666666666666, 'test_f1': 0.3408252520750412, 'test_image_accuracy': 0.36363636363636365, 'test_image_precision': 0.25, 'test_image_recall': 0.3333333333333333, 'test_image_f1': 0.28095238095238095}
2026-09-06 23:11:27,407 | INFO | src.trainer.client.client_3 | Round 2 learning rate set to 9.99751e-05
2026-09-06 23:11:27,407 | INFO | src.trainer.client.client_3 | Starting local training for round 2
2026-09-06 23:11:58,776 | INFO | src.trainer.client.client_3 | Round 2 local epoch 1/3: train_loss=1.012182
2026-09-06 23:12:29,442 | INFO | src.trainer.client.client_3 | Round 2 local epoch 2/3: train_loss=0.770691
2026-09-06 23:13:00,559 | INFO | src.trainer.client.client_3 | Round 2 local epoch 3/3: train_loss=0.654742
2026-09-06 23:13:28,158 | INFO | src.trainer.client.client_3 | Round 2 local fit metrics: {'train_loss': 0.6547424519503559, 'lr': 9.997507884796767e-05, 'train_accuracy': 0.896074074074074, 'train_precision': 0.9055536387360477, 'train_recall': 0.8794794612794613, 'train_f1': 0.8870112832829037, 'train_image_accuracy': 0.9555555555555556, 'train_image_precision': 0.9636363636363636, 'train_image_recall': 0.9199999999999999, 'train_image_f1': 0.93, 'val_loss': 1.1537480057875316, 'val_accuracy': 0.52, 'val_precision': 0.5461795263674366, 'val_recall': 0.5053333333333333, 'val_f1': 0.4869034767527842, 'val_image_accuracy': 0.6, 'val_image_precision': 0.6, 'val_image_recall': 0.5666666666666667, 'val_image_f1': 0.5}
2026-09-06 23:13:57,583 | INFO | src.trainer.client.client_3 | Round 2 local test metrics: loss=0.837455 metrics={'test_accuracy': 0.6430303030303031, 'test_precision': 0.5332806496387759, 'test_recall': 0.5518888888888889, 'test_f1': 0.5203837462661767, 'test_image_accuracy': 0.8181818181818182, 'test_image_precision': 0.6833333333333333, 'test_image_recall': 0.7, 'test_image_f1': 0.6647619047619048}
2026-09-06 23:13:59,321 | INFO | src.trainer.client.client_3 | Round 3 learning rate set to 9.99003e-05
2026-09-06 23:13:59,321 | INFO | src.trainer.client.client_3 | Starting local training for round 3
2026-09-06 23:14:31,518 | INFO | src.trainer.client.client_3 | Round 3 local epoch 1/3: train_loss=0.804562
2026-09-06 23:15:01,422 | INFO | src.trainer.client.client_3 | Round 3 local epoch 2/3: train_loss=0.577841
2026-09-06 23:15:33,403 | INFO | src.trainer.client.client_3 | Round 3 local epoch 3/3: train_loss=0.530703
2026-09-06 23:16:00,016 | INFO | src.trainer.client.client_3 | Round 3 local fit metrics: {'train_loss': 0.5307030033182215, 'lr': 9.990034048535828e-05, 'train_accuracy': 0.9431111111111111, 'train_precision': 0.9406362557061833, 'train_recall': 0.9438794612794613, 'train_f1': 0.9419030298674608, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 0.980436476101478, 'val_accuracy': 0.5593333333333333, 'val_precision': 0.629907859435361, 'val_recall': 0.5396666666666666, 'val_f1': 0.5336957289433333, 'val_image_accuracy': 0.5, 'val_image_precision': 0.38, 'val_image_recall': 0.4666666666666667, 'val_image_f1': 0.3476190476190476}
2026-09-06 23:24:27,109 | INFO | src.trainer.client.client_3 | Round 3 local test metrics: loss=0.736616 metrics={'test_accuracy': 0.6896969696969697, 'test_precision': 0.6817363815163839, 'test_recall': 0.6457777777777778, 'test_f1': 0.6432943793957981, 'test_image_accuracy': 0.6363636363636364, 'test_image_precision': 0.5333333333333333, 'test_image_recall': 0.5666666666666667, 'test_image_f1': 0.5342857142857144}
2026-09-06 23:30:29,364 | INFO | src.trainer.client.client_3 | Round 4 learning rate set to 9.97759e-05
2026-09-06 23:30:29,364 | INFO | src.trainer.client.client_3 | Starting local training for round 4
2026-09-06 23:31:01,286 | INFO | src.trainer.client.client_3 | Round 4 local epoch 1/3: train_loss=0.679892
2026-09-06 23:31:33,449 | INFO | src.trainer.client.client_3 | Round 4 local epoch 2/3: train_loss=0.490278
2026-09-06 23:32:02,857 | INFO | src.trainer.client.client_3 | Round 4 local epoch 3/3: train_loss=0.427236
2026-09-06 23:32:29,039 | INFO | src.trainer.client.client_3 | Round 4 local fit metrics: {'train_loss': 0.4272358610011913, 'lr': 9.97758601673677e-05, 'train_accuracy': 0.9387407407407408, 'train_precision': 0.9405996308701001, 'train_recall': 0.9402101010101009, 'train_f1': 0.939692945606431, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 1.115648250631988, 'val_accuracy': 0.5623333333333334, 'val_precision': 0.6821188774518718, 'val_recall': 0.5627777777777777, 'val_f1': 0.5471713704389678, 'val_image_accuracy': 0.6, 'val_image_precision': 0.58, 'val_image_recall': 0.5666666666666667, 'val_image_f1': 0.5142857142857142}
2026-09-06 23:34:48,454 | INFO | src.trainer.client.client_3 | Round 4 local test metrics: loss=0.778718 metrics={'test_accuracy': 0.6578787878787878, 'test_precision': 0.7008408387449, 'test_recall': 0.6481111111111112, 'test_f1': 0.6399335145547614, 'test_image_accuracy': 0.6363636363636364, 'test_image_precision': 0.5666666666666667, 'test_image_recall': 0.5999999999999999, 'test_image_f1': 0.5342857142857144}
2026-09-06 23:38:59,519 | INFO | src.trainer.client.client_3 | Round 5 learning rate set to 9.96018e-05
2026-09-06 23:38:59,520 | INFO | src.trainer.client.client_3 | Starting local training for round 5
2026-09-06 23:39:30,590 | INFO | src.trainer.client.client_3 | Round 5 local epoch 1/3: train_loss=0.593190
2026-09-06 23:40:04,000 | INFO | src.trainer.client.client_3 | Round 5 local epoch 2/3: train_loss=0.443862
2026-09-06 23:40:31,575 | INFO | src.trainer.client.client_3 | Round 5 local epoch 3/3: train_loss=0.396693
2026-09-06 23:40:59,713 | INFO | src.trainer.client.client_3 | Round 5 local fit metrics: {'train_loss': 0.3966934366579409, 'lr': 9.960176323512438e-05, 'train_accuracy': 0.9445925925925925, 'train_precision': 0.9361796170475835, 'train_recall': 0.9378323232323232, 'train_f1': 0.9367440474136186, 'train_image_accuracy': 1.0, 'train_image_precision': 1.0, 'train_image_recall': 1.0, 'train_image_f1': 1.0, 'val_loss': 0.797223227267464, 'val_accuracy': 0.6666666666666666, 'val_precision': 0.6408273426191522, 'val_recall': 0.6146666666666667, 'val_f1': 0.6042666968770074, 'val_image_accuracy': 0.8, 'val_image_precision': 0.7, 'val_image_recall': 0.7333333333333333, 'val_image_f1': 0.6933333333333334}
2026-09-06 23:45:30,325 | INFO | src.trainer.client.client_3 | Round 5 local test metrics: loss=0.722669 metrics={'test_accuracy': 0.6990909090909091, 'test_precision': 0.7090203215918904, 'test_recall': 0.6663333333333333, 'test_f1': 0.6654666502001414, 'test_image_accuracy': 0.7272727272727273, 'test_image_precision': 0.5999999999999999, 'test_image_recall': 0.6666666666666666, 'test_image_f1': 0.6133333333333334}
2026-09-06 23:45:30,949 | INFO | src.trainer.client.client_3 | Round 6 learning rate set to 9.93782e-05
2026-09-06 23:45:30,949 | INFO | src.trainer.client.client_3 | Starting local training for round 6
2026-09-06 23:46:01,093 | INFO | src.trainer.client.client_3 | Round 6 local epoch 1/3: train_loss=0.555523
