epoch,lr,train_loss,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,0.0001,1.3788741644241231,0.4274122807017544,0.3267544064679239,0.47368421052631576,0.3618550724637681,0.40857142857142864,0.40823529411764714,1.3212508649993362,0.3576106489396018,0.36730174291939
2,9.993622130545428e-05,1.143778556545487,0.4450438596491228,0.3577282069656338,0.4605263157894737,0.35530691530691527,0.42592592592592593,0.39888888888888896,1.487669450713877,0.4152273860522458,0.38424814814814817
3,9.974506600945618e-05,1.0591990892747285,0.44710526315789473,0.32668069296365243,0.47368421052631576,0.3358156028368794,0.3276190476190476,0.4117647058823529,1.567005642066922,0.3205544287313854,0.3865843137254902
4,9.94270759624605e-05,1.0049596155955336,0.4398684210526316,0.3548068541704683,0.47368421052631576,0.3676279069767442,0.37823361823361823,0.4106535947712418,1.4748136798645322,0.377388037292678,0.3800631808278867
5,9.8983152541804e-05,0.9585448064004038,0.39210526315789473,0.3354905608293171,0.39473684210526316,0.3276963266618439,0.33586956521739125,0.3384967320261437,1.588558265995561,0.34661516094607736,0.3342851851851852
6,9.841455409665323e-05,0.9173378008351825,0.4423245614035088,0.3462786241556993,0.47368421052631576,0.34973544973544973,0.4091646191646191,0.41084967320261445,1.6469226607732605,0.3752229299361819,0.3815437908496732
7,9.772289238107717e-05,0.8905582565365673,0.4757456140350877,0.3797973511740921,0.5,0.3720634920634921,0.3281481481481482,0.4359477124183007,1.540168997237557,0.38646862909661056,0.41126753812636174
8,9.691012798535524e-05,0.8563946315351909,0.3935087719298246,0.328021932851139,0.40789473684210525,0.3154647193777629,0.32330503678551215,0.3515686274509804,1.6791191695552123,0.3440042590144757,0.3367788671023965
9,9.597856477847111e-05,0.8334744455447972,0.4560526315789474,0.3629882062654917,0.5131578947368421,0.39866666666666667,0.4257912457912457,0.4448366013071895,1.5904021656408645,0.3810600918451586,0.39327211328976036
10,9.493084337754573e-05,0.8070927559099289,0.4388157894736842,0.3630960219003745,0.4868421052631579,0.39243944461335767,0.4067449791587722,0.42150326797385623,1.6646075992103209,0.37556478679953,0.3850910675381264
11,9.376993366272128e-05,0.7899354251579789,0.3774561403508772,0.31911625982057246,0.39473684210526316,0.3239949627046401,0.3292128923707871,0.3398039215686274,1.7551125861155359,0.3283839100338465,0.324059477124183
12,9.249912635871318e-05,0.7782711819940438,0.4474122807017544,0.36649516399217774,0.4868421052631579,0.37302636916835696,0.39126559714795006,0.4201960784313726,1.6312455033523994,0.38201085164356635,0.38609738562091506
13,9.112202370689337e-05,0.7561034514112833,0.4380263157894737,0.3790905365064488,0.4868421052631579,0.39307826956739184,0.40069930069930065,0.41424836601307186,1.582545163443214,0.38507976187804666,0.39098213507625273
14,8.964252925434579e-05,0.7372019219982597,0.43798245614035086,0.34208220731146366,0.4473684210526316,0.3149408035194411,0.3299930986887508,0.38732026143790854,1.7706464380548712,0.36516411038799157,0.377982788671024
15,8.806483678883803e-05,0.7306779039959246,0.433640350877193,0.3442648566442318,0.4868421052631579,0.37396336996337,0.403030303030303,0.41954248366013075,1.7236767516742673,0.36123658867425645,0.37355228758169934
16,8.639341845107433e-05,0.7126831564977599,0.398859649122807,0.34856284277316624,0.39473684210526316,0.3172348074402957,0.3385544407283537,0.336078431372549,1.756877897245842,0.37696776787432895,0.3688764705882353
17,8.463301205792675e-05,0.7018005556801822,0.4605263157894737,0.36704909303790656,0.5394736842105263,0.4167601708471446,0.4471369707303211,0.46483660130718957,1.6761298186423486,0.3842873211004841,0.396375816993464
18,8.278860767257865e-05,0.6844933239406538,0.4542982456140351,0.3541864837404568,0.5,0.37835497835497833,0.40755494505494505,0.4306535947712418,1.7118875897662682,0.3722644368844418,0.3937884531590414
19,8.086543345964832e-05,0.6786686352472794,0.48223684210526313,0.370231581886801,0.5131578947368421,0.3895644585299758,0.4514285714285714,0.44307189542483655,1.7008045929565765,0.4042387818618602,0.4157714596949892
20,7.886894086538841e-05,0.671729922124697,0.4225877192982456,0.34391465286202255,0.4868421052631579,0.36333288868138464,0.37332603539500087,0.4188888888888889,1.7820850509823414,0.36312067829939865,0.373344008714597
21,7.680478916496926e-05,0.6634265456486386,0.4330701754385965,0.34336278341460214,0.4605263157894737,0.34936054421768703,0.3645833333333333,0.3960130718954248,1.7168738455103154,0.36163269986369434,0.37335555555555555
22,7.46788294206485e-05,0.6486528311823595,0.4675,0.3703661700509325,0.5,0.3868220668220668,0.3941880341880342,0.43130718954248365,1.6362990372641044,0.379963500597134,0.4015891067538127
23,7.249708789629944e-05,0.6447875062606914,0.46635964912280703,0.38059108968887945,0.4868421052631579,0.38605555555555554,0.39664502164502163,0.4160130718954248,1.6589801073178911,0.4038329563135014,0.40267581699346405
24,7.026574897531136e-05,0.635652227019414,0.44083333333333335,0.37168110201852167,0.5131578947368421,0.4081526860435279,0.43802197802197806,0.4377777777777777,1.7351616411041795,0.39232661989119066,0.3897453159041394
25,6.799113763028295e-05,0.6292468243027582,0.4423684210526316,0.35574836316239977,0.47368421052631576,0.3800679002470716,0.3866666666666666,0.4086274509803921,1.6866704794398526,0.3588516554662504,0.3800167755991285
26,6.567970149420018e-05,0.6243187370031253,0.47368421052631576,0.39190440101808244,0.5,0.3975606921813818,0.4287698412698413,0.4295424836601307,1.6103826276774993,0.4148502751147756,0.4097721132897604
27,6.333799258392015e-05,0.6151092083346162,0.46109649122807017,0.36736698391250255,0.4868421052631579,0.37724041811846687,0.4016304347826087,0.41954248366013075,1.734844893373941,0.39061713050613056,0.3969381263616557
28,6.0972648727767494e-05,0.6051661333156322,0.39859649122807017,0.33025965770081467,0.4342105263157895,0.3532243618450515,0.37710437710437705,0.3713725490196078,1.8154265045596842,0.3441300527732416,0.3407104575163399
29,5.859037474988874e-05,0.5968698497303522,0.42219298245614034,0.340300507611888,0.4868421052631579,0.3857142857142857,0.42503840245775726,0.4177777777777778,1.8319923526571509,0.35871834915323636,0.36329651416122
30,5.619792346469987e-05,0.5946996053661695,0.48118421052631577,0.3784295563926285,0.5,0.37212556835198346,0.42793650793650795,0.43130718954248365,1.6197441597570452,0.4021054542269525,0.41355424836601307
31,5.380207653530014e-05,0.5962673711068734,0.47149122807017546,0.37455156116029453,0.5131578947368421,0.3922936259143156,0.4230257197999133,0.4413071895424837,1.6542662961754881,0.3901110262217602,0.40548431372549015
32,5.140962525011126e-05,0.5812846905280682,0.4543859649122807,0.35993026826516106,0.5,0.38692203671919695,0.415219421101774,0.4295424836601307,1.73980519846866,0.38019543434160363,0.39123812636165584
33,4.902735127223252e-05,0.5779483967970811,0.40464912280701754,0.32823216824834767,0.4473684210526316,0.35372799243766984,0.35620723362658846,0.38555555555555554,1.8037985484537324,0.3301260603040767,0.3477753812636165
34,4.6662007416079864e-05,0.5761530197073816,0.47276315789473683,0.3627664428084879,0.5131578947368421,0.38495440336872566,0.4362421891833656,0.44307189542483655,1.6748948124417087,0.3874634511577807,0.40724226579520695
35,4.4320298505799834e-05,0.5707425880352479,0.4965350877192982,0.39239227033093527,0.5263157894736842,0.4066508738985989,0.4666363636363636,0.4548366013071895,1.6179473586563478,0.41905130843070326,0.4298058823529412
36,4.200886236971707e-05,0.5645641233324562,0.4586842105263158,0.35999677437732486,0.4868421052631579,0.3754346182917611,0.3895833333333333,0.41954248366013075,1.7350584532085218,0.3750249654964065,0.39475925925925925
37,3.9734251024688635e-05,0.5627201110907811,0.4423684210526316,0.3583594824590096,0.4605263157894737,0.36476336357566475,0.3731934032983508,0.39666666666666667,1.74120987352572,0.3719940110264887,0.38112222222222225
38,3.750291210370057e-05,0.5579802696281835,0.4705263157894737,0.3722460869368142,0.5394736842105263,0.417047619047619,0.45316017316017315,0.46483660130718957,1.7052172845392897,0.39253926135549005,0.40531328976034864
39,3.532117057935151e-05,0.5532800379450797,0.46706140350877196,0.37289450451687844,0.5,0.3811077811077811,0.4074023199023199,0.43130718954248365,1.6814063404735766,0.39484899752467484,0.4022185185185185
40,3.3195210835030745e-05,0.5499101979907743,0.46982456140350876,0.3728314447260569,0.5263157894736842,0.41158267020335987,0.4595382395382395,0.45372549019607844,1.7228797021246793,0.3967569516868979,0.4036202614379086
41,3.113105913461159e-05,0.5474448845770594,0.463859649122807,0.37130321102510444,0.5131578947368421,0.3941433317513051,0.42175,0.44307189542483655,1.7083788040228058,0.38876103950215746,0.39980893246187355
42,2.9134566540351696e-05,0.5424049107410683,0.47736842105263155,0.3865874944214255,0.5,0.39042665766070017,0.4,0.4295424836601307,1.6692862680920384,0.3956423477223011,0.4124592592592592
43,2.721139232742137e-05,0.5400909033552664,0.46771929824561403,0.3718291774734918,0.4868421052631579,0.37302406025810286,0.38474358974358974,0.41954248366013075,1.7186988945906623,0.3797123659598144,0.4043712418300654
44,2.536698794207327e-05,0.536676338063228,0.46307017543859647,0.36789621407362405,0.5263157894736842,0.3990249433106575,0.4363756613756614,0.4548366013071895,1.7175257211505321,0.3883678426543129,0.39950261437908496
45,2.360658154892569e-05,0.5327991448531969,0.47057017543859647,0.3774237246390459,0.5263157894736842,0.4121568627450981,0.45333842627960275,0.45372549019607844,1.7082229202567485,0.3951503113570344,0.4060579520697167
46,2.1935163211161985e-05,0.5301781671119781,0.45864035087719296,0.3593070108504649,0.5,0.3811077811077811,0.4074023199023199,0.43130718954248365,1.756307634815835,0.3732388660727306,0.395625054466231
47,2.0357470745654214e-05,0.5289354444028009,0.4687719298245614,0.3759063860940658,0.5263157894736842,0.4100023457658925,0.44097222222222215,0.4530718954248366,1.6943702503254539,0.390327676755304,0.40369128540305016
48,1.8877976293106646e-05,0.5206476746883406,0.46706140350877196,0.3714879278641905,0.5263157894736842,0.4095238095238095,0.4492424242424242,0.4530718954248366,1.6973518296396524,0.3917579693331983,0.402458605664488
49,1.750087364128682e-05,0.5230549266343658,0.45517543859649123,0.36116488052756074,0.5,0.3858276026979337,0.4218446799009459,0.43019607843137253,1.736696939897119,0.3802735063156512,0.3914971677559913
50,1.6230066337278724e-05,0.5217661706057848,0.46785087719298246,0.374122727665065,0.47368421052631576,0.36486049904340756,0.3717064544650751,0.40843137254901957,1.7081121518528253,0.3845403160598613,0.40219433551198264
51,1.5069156622454287e-05,0.5151026551353551,0.46657894736842104,0.37572532791156243,0.5263157894736842,0.414282586483725,0.452559205500382,0.45372549019607844,1.6824820015932385,0.39141481293265856,0.4019812636165578
52,1.4021435221528906e-05,0.5171341489913646,0.4649561403508772,0.3719827241964646,0.5131578947368421,0.4033333333333333,0.43227272727272725,0.44196078431372554,1.724183812936147,0.3930512287466047,0.39996644880174287
53,1.3089872014644771e-05,0.5146065014268879,0.4476754385964912,0.35773909382818625,0.4868421052631579,0.3761676701331873,0.38387096774193546,0.41954248366013075,1.755988206445125,0.3695044824984227,0.3848806100217864
54,1.2277107618922843e-05,0.5108499798849059,0.4705263157894737,0.3711510626464138,0.5,0.3811077811077811,0.4074023199023199,0.43130718954248365,1.7034578186064435,0.3886806969598038,0.404938779956427
55,1.1585445903346785e-05,0.5098037330964449,0.46021929824561403,0.36682170169766454,0.5,0.3819014319014319,0.3995106148331955,0.43130718954248365,1.7344944847048374,0.3829315978785818,0.3960071895424837
