2026-09-12 04:48:50,857 | INFO | src.trainer.trainer | Epoch 5/60 learning rate set to 9.89832e-05
2026-09-12 04:50:13,603 | INFO | src.trainer.trainer | Epoch 5/60 train_loss=0.840570
2026-09-12 04:50:18,194 | INFO | src.trainer.trainer | Epoch 5: new best val_f1 0.2936, saved logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/model_best.pt
2026-09-12 04:50:18,198 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-12 04:50:18: {'train_loss': 0.840569716269068, 'lr': 9.8983152541804e-05, 'val_loss': 1.7354994489734334, 'val_accuracy': 0.3458646616541353, 'val_precision': 0.3153396458883397, 'val_recall': 0.29499626517273575, 'val_f1': 0.29359562225811875, 'val_image_accuracy': 0.34210526315789475, 'val_image_precision': 0.2965034965034965, 'val_image_recall': 0.291437908496732, 'val_image_f1': 0.26987477638640434}
2026-09-12 04:50:18,198 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.29359562225811875 val_image_f1=0.26987477638640434
2026-09-12 04:50:18,198 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-12 04:51:41,682 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=0.788258
2026-09-12 04:51:46,283 | INFO | src.trainer.trainer | Epoch 6: new best val_f1 0.3016, saved logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/model_best.pt
2026-09-12 04:51:46,284 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-12 04:51:46: {'train_loss': 0.7882578113903637, 'lr': 9.841455409665323e-05, 'val_loss': 1.870785082820663, 'val_accuracy': 0.37593984962406013, 'val_precision': 0.30916231952230394, 'val_recall': 0.3312689075630252, 'val_f1': 0.3016408280038712, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.2742857142857143, 'val_image_recall': 0.3437908496732026, 'val_image_f1': 0.3008333333333333}
2026-09-12 04:51:46,284 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.3016408280038712 val_image_f1=0.3008333333333333
2026-09-12 04:51:46,284 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-12 04:53:09,072 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=0.747400
2026-09-12 04:53:13,667 | INFO | src.trainer.trainer | Epoch 7: new best val_f1 0.3448, saved logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/model_best.pt
2026-09-12 04:53:13,668 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-12 04:53:13: {'train_loss': 0.7474004918589093, 'lr': 9.772289238107717e-05, 'val_loss': 1.717875995940732, 'val_accuracy': 0.412781954887218, 'val_precision': 0.3604067878744871, 'val_recall': 0.35581886087768444, 'val_f1': 0.34476169153104724, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.3885882352941176, 'val_image_recall': 0.360718954248366, 'val_image_f1': 0.3431011202721189}
2026-09-12 04:53:13,669 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.34476169153104724 val_image_f1=0.3431011202721189
2026-09-12 04:53:13,669 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 9.69101e-05
2026-09-12 04:54:36,708 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=0.705000
2026-09-12 04:54:41,289 | INFO | src.trainer.trainer | Epoch 8: new best val_f1 0.3568, saved logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/model_best.pt
2026-09-12 04:54:41,291 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-12 04:54:41: {'train_loss': 0.7050000597025003, 'lr': 9.691012798535524e-05, 'val_loss': 1.7146684412669417, 'val_accuracy': 0.4182330827067669, 'val_precision': 0.3753679392520711, 'val_recall': 0.3644136321195145, 'val_f1': 0.3568207819983482, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.34190402476780185, 'val_image_recall': 0.3162745098039215, 'val_image_f1': 0.31885078355666596}
2026-09-12 04:54:41,291 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.3568207819983482 val_image_f1=0.31885078355666596
2026-09-12 04:54:41,291 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 9.59786e-05
2026-09-12 04:56:04,315 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=0.679012
2026-09-12 04:56:08,815 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-12 04:56:08: {'train_loss': 0.6790115471292824, 'lr': 9.597856477847111e-05, 'val_loss': 1.8114972557788505, 'val_accuracy': 0.4129699248120301, 'val_precision': 0.33942554721642304, 'val_recall': 0.3525704948646125, 'val_f1': 0.33276823515692144, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.3504273504273504, 'val_image_recall': 0.37202614379084964, 'val_image_f1': 0.34458295327860544}
2026-09-12 04:56:08,816 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.33276823515692144 val_image_f1=0.34458295327860544
2026-09-12 04:56:08,816 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 9.49308e-05
