epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
22,0.000046,313.136122,0.767648,0.805040,0.802177,0.795755,0.798417,1.012712,0.669780,0.672534,0.650823,0.654794,0.734066,0.734230,0.710261,0.715957,7280,455,1.331207,0.531013,0.497107,0.495242,0.490551,0.531250,0.492282,0.488186,0.480631,8448,96,1
23,0.000042,312.279205,0.756929,0.810029,0.807935,0.801135,0.803948,1.001045,0.677198,0.686720,0.657650,0.662649,0.742857,0.757913,0.719545,0.727312,7280,455,1.348306,0.525331,0.498185,0.491277,0.487338,0.531250,0.495500,0.489622,0.482209,8448,96,0
24,0.000038,311.030608,0.753348,0.812571,0.810333,0.803855,0.806569,0.972845,0.688736,0.691652,0.668806,0.673976,0.778022,0.784659,0.756701,0.764076,7280,455,1.311091,0.542614,0.507864,0.507787,0.503223,0.520833,0.483277,0.481966,0.474386,8448,96,1
25,0.000034,312.869339,0.747130,0.815267,0.812881,0.807004,0.809489,0.978441,0.689148,0.693203,0.667688,0.673003,0.764835,0.788926,0.738619,0.748665,7280,455,1.304526,0.540128,0.507758,0.504715,0.500780,0.531250,0.490133,0.487753,0.480051,8448,96,0
26,0.000031,311.665915,0.739609,0.820176,0.818124,0.812097,0.814653,0.959707,0.698901,0.701237,0.678659,0.684054,0.769231,0.779775,0.741992,0.749690,7280,455,1.324818,0.543087,0.512279,0.510365,0.507691,0.541667,0.506129,0.499146,0.490340,8448,96,1
27,0.000027,310.635220,0.734585,0.823275,0.821134,0.815140,0.817673,0.963534,0.693269,0.692080,0.675934,0.680289,0.782418,0.785589,0.758443,0.764356,7280,455,1.321248,0.539536,0.502399,0.505427,0.500159,0.562500,0.512194,0.521201,0.511574,8448,96,0
28,0.000023,312.513056,0.728969,0.825311,0.823102,0.817620,0.819958,0.966983,0.693819,0.694381,0.673493,0.678677,0.769231,0.778145,0.745007,0.753055,7280,455,1.321097,0.542022,0.507190,0.507744,0.503908,0.541667,0.498413,0.498713,0.491053,8448,96,0
29,0.000020,311.693860,0.727965,0.825429,0.823045,0.817969,0.820159,0.968507,0.691071,0.700328,0.669743,0.675581,0.767033,0.789352,0.738474,0.747055,7280,455,1.315860,0.539891,0.507310,0.503259,0.498155,0.520833,0.463754,0.472955,0.459198,8448,96,0
30,0.000017,311.198631,0.722909,0.828484,0.826496,0.820692,0.823176,0.970395,0.694918,0.695083,0.675281,0.679988,0.771429,0.778101,0.741645,0.746848,7280,455,1.315239,0.546757,0.512328,0.511798,0.507587,0.541667,0.498413,0.498713,0.491053,8448,96,0
31,0.000014,307.580366,0.718416,0.830256,0.828417,0.822851,0.825228,0.955521,0.700824,0.704609,0.678180,0.684005,0.782418,0.792423,0.756107,0.763662,7280,455,1.291975,0.550545,0.513076,0.514160,0.509151,0.562500,0.513977,0.517327,0.508003,8448,96,1
32,0.000011,311.684083,0.717663,0.831172,0.829311,0.823783,0.826146,0.959077,0.696291,0.704220,0.675732,0.681199,0.775824,0.794682,0.752662,0.760758,7280,455,1.334406,0.531132,0.502334,0.496707,0.492424,0.531250,0.506068,0.490055,0.481780,8448,96,0
33,0.000009,310.510750,0.713382,0.834879,0.832601,0.827526,0.829734,0.979298,0.689148,0.697807,0.668134,0.673489,0.760440,0.778708,0.733420,0.740891,7280,455,1.333350,0.534328,0.506205,0.499923,0.495287,0.520833,0.482355,0.480531,0.473198,8448,96,0
34,0.000007,308.074122,0.712358,0.835744,0.834304,0.828642,0.831088,0.956730,0.695467,0.703106,0.677211,0.682695,0.778022,0.785124,0.756793,0.763420,7280,455,1.330257,0.535038,0.511684,0.502805,0.500067,0.531250,0.507005,0.489622,0.482649,8448,96,0
35,0.000005,309.636121,0.710490,0.836029,0.834147,0.828933,0.831202,0.949733,0.698901,0.705998,0.677725,0.683624,0.782418,0.798545,0.754531,0.762680,7280,455,1.325809,0.541312,0.509443,0.506267,0.502051,0.531250,0.497262,0.489622,0.481503,8448,96,0
36,0.000004,311.116838,0.707354,0.837436,0.835545,0.830470,0.832692,0.950308,0.702610,0.708734,0.683831,0.689664,0.771429,0.789028,0.749325,0.758222,7280,455,1.328086,0.534920,0.508028,0.502583,0.500151,0.541667,0.507087,0.498713,0.491102,8448,96,0
37,0.000003,311.319807,0.707187,0.838249,0.836379,0.831133,0.833414,0.958902,0.696978,0.705082,0.675992,0.682046,0.778022,0.794638,0.752991,0.761194,7280,455,1.323853,0.542140,0.512670,0.507725,0.504161,0.541667,0.507087,0.498713,0.491102,8448,96,0
38,0.000002,314.131012,0.706098,0.838718,0.837405,0.831905,0.834284,0.937762,0.710165,0.711493,0.689004,0.694788,0.795604,0.804175,0.770198,0.778397,7280,455,1.301715,0.549598,0.516029,0.515805,0.512948,0.583333,0.527524,0.535076,0.525743,8448,96,1
39,0.000001,307.774131,0.703100,0.840835,0.839509,0.833602,0.836126,0.953222,0.699725,0.705945,0.680242,0.685684,0.778022,0.795175,0.754030,0.762794,7280,455,1.327247,0.540483,0.515557,0.507666,0.505392,0.531250,0.507029,0.489622,0.482932,8448,96,0
40,0.000001,307.133341,0.703395,0.840484,0.838971,0.833886,0.836116,0.973702,0.694368,0.704557,0.673400,0.679427,0.764835,0.784863,0.737925,0.746701,7280,455,1.320787,0.542969,0.517278,0.508018,0.504206,0.531250,0.503277,0.488186,0.480455,8448,96,0
