epoch,lr,train_loss,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,2.9999999999999997e-05,1.4736643524030344,0.418796992481203,0.31154152927497725,0.42105263157894735,0.312987012987013,0.349393665158371,0.3591503267973856,1.4352904316177941,0.3405541463024838,0.358422035480859
2,2.9985826956767615e-05,1.3202390414227962,0.299812030075188,0.23098424005371684,0.32894736842105265,0.24285147257283474,0.2533910533910534,0.2820915032679739,1.6236150372297244,0.24298138522145338,0.25669187675070027
3,2.9943348002101373e-05,1.23839457676815,0.34097744360902255,0.26360168820167507,0.35526315789473684,0.2583087288969642,0.26696969696969697,0.3001307189542483,1.6218860332230876,0.28542604189946486,0.29777964519140987
4,2.987268354721344e-05,1.1768099364299818,0.35150375939849626,0.28507236024640115,0.3684210526315789,0.28311739181304396,0.2751048951048951,0.31143790849673203,1.6084989395356717,0.2858706812732047,0.30535760971055087
5,2.9774033898178667e-05,1.1254303698626211,0.3518796992481203,0.28934921304623507,0.39473684210526316,0.3165412748171369,0.33413623413623417,0.33562091503267977,1.6585362273051327,0.2987994657150936,0.30899906629318397
6,2.9647678688145162e-05,1.0742403038512207,0.256203007518797,0.22256792938492498,0.25,0.18810810810810813,0.16954887218045114,0.21699346405228762,1.8990007959810415,0.2471606081984825,0.23432306255835664
7,2.9493976084683813e-05,1.036611078667709,0.35582706766917294,0.2804874832017654,0.34210526315789475,0.25646136808927505,0.25866666666666666,0.29385620915032684,1.6739392441914493,0.29101704377832766,0.31218580765639586
8,2.9313361774523386e-05,0.9956707614719053,0.37969924812030076,0.29377677580057454,0.40789473684210525,0.2980909090909091,0.33388888888888885,0.3496078431372549,1.6244276400347402,0.31318174054053516,0.3285350140056022
9,2.910634772854913e-05,0.9649979687404602,0.35150375939849626,0.2714508835597958,0.32894736842105265,0.22796078431372552,0.21444005270092226,0.28385620915032683,1.7117537926014206,0.27810814925335825,0.30865732959850606
10,2.8873520750565715e-05,0.9276686664982431,0.38590225563909775,0.309653812809123,0.40789473684210525,0.3176379176379176,0.3214703425229741,0.35267973856209156,1.6962122674275162,0.3177119528012448,0.33128851540616244
11,2.8615540813938062e-05,0.893509014366616,0.3460526315789474,0.2798410062488414,0.3815789473684211,0.30185006435006434,0.3211431805319751,0.32562091503267976,1.7834895903006531,0.2896218396122632,0.2965452847805789
12,2.8333139190825147e-05,0.8555035331239376,0.3398496240601504,0.26402280365620023,0.32894736842105265,0.236798418972332,0.20551242236024841,0.28431372549019607,1.772826569869106,0.2599470458975295,0.292703081232493
13,2.8027116379309633e-05,0.8245123600982535,0.3530075187969925,0.28671284177007406,0.34210526315789475,0.25786357786357783,0.2278985507246377,0.2973856209150327,1.8222429789098582,0.291558478773441,0.3039178338001868
