2026-09-12 06:16:03,856 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-12 06:16:03: {'train_loss': 1.1254303698626211, 'lr': 2.9774033898178667e-05, 'val_loss': 1.6585362273051327, 'val_accuracy': 0.3518796992481203, 'val_precision': 0.2987994657150936, 'val_recall': 0.30899906629318397, 'val_f1': 0.28934921304623507, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.33413623413623417, 'val_image_recall': 0.33562091503267977, 'val_image_f1': 0.3165412748171369}
2026-09-12 06:16:03,856 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.28934921304623507 val_image_f1=0.3165412748171369
2026-09-12 06:16:03,856 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 2.96477e-05
2026-09-12 06:17:26,854 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=1.074240
2026-09-12 06:17:31,360 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-12 06:17:31: {'train_loss': 1.0742403038512207, 'lr': 2.9647678688145162e-05, 'val_loss': 1.8990007959810415, 'val_accuracy': 0.256203007518797, 'val_precision': 0.2471606081984825, 'val_recall': 0.23432306255835664, 'val_f1': 0.22256792938492498, 'val_image_accuracy': 0.25, 'val_image_precision': 0.16954887218045114, 'val_image_recall': 0.21699346405228762, 'val_image_f1': 0.18810810810810813}
2026-09-12 06:17:31,360 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.22256792938492498 val_image_f1=0.18810810810810813
2026-09-12 06:17:31,360 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 2.9494e-05
2026-09-12 06:18:54,313 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=1.036611
2026-09-12 06:18:58,804 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-12 06:18:58: {'train_loss': 1.036611078667709, 'lr': 2.9493976084683813e-05, 'val_loss': 1.6739392441914493, 'val_accuracy': 0.35582706766917294, 'val_precision': 0.29101704377832766, 'val_recall': 0.31218580765639586, 'val_f1': 0.2804874832017654, 'val_image_accuracy': 0.34210526315789475, 'val_image_precision': 0.25866666666666666, 'val_image_recall': 0.29385620915032684, 'val_image_f1': 0.25646136808927505}
2026-09-12 06:18:58,805 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.2804874832017654 val_image_f1=0.25646136808927505
2026-09-12 06:18:58,805 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 2.93134e-05
2026-09-12 06:20:22,162 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=0.995671
2026-09-12 06:20:26,653 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-12 06:20:26: {'train_loss': 0.9956707614719053, 'lr': 2.9313361774523386e-05, 'val_loss': 1.6244276400347402, 'val_accuracy': 0.37969924812030076, 'val_precision': 0.31318174054053516, 'val_recall': 0.3285350140056022, 'val_f1': 0.29377677580057454, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.33388888888888885, 'val_image_recall': 0.3496078431372549, 'val_image_f1': 0.2980909090909091}
2026-09-12 06:20:26,653 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.29377677580057454 val_image_f1=0.2980909090909091
2026-09-12 06:20:26,653 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 2.91063e-05
2026-09-12 06:21:50,015 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=0.964998
2026-09-12 06:21:54,510 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-12 06:21:54: {'train_loss': 0.9649979687404602, 'lr': 2.910634772854913e-05, 'val_loss': 1.7117537926014206, 'val_accuracy': 0.35150375939849626, 'val_precision': 0.27810814925335825, 'val_recall': 0.30865732959850606, 'val_f1': 0.2714508835597958, 'val_image_accuracy': 0.32894736842105265, 'val_image_precision': 0.21444005270092226, 'val_image_recall': 0.28385620915032683, 'val_image_f1': 0.22796078431372552}
2026-09-12 06:21:54,510 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.2714508835597958 val_image_f1=0.22796078431372552
2026-09-12 06:21:54,510 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 2.88735e-05
2026-09-12 06:23:18,268 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=0.927669
2026-09-12 06:23:22,743 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-12 06:23:22: {'train_loss': 0.9276686664982431, 'lr': 2.8873520750565715e-05, 'val_loss': 1.6962122674275162, 'val_accuracy': 0.38590225563909775, 'val_precision': 0.3177119528012448, 'val_recall': 0.33128851540616244, 'val_f1': 0.309653812809123, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.3214703425229741, 'val_image_recall': 0.35267973856209156, 'val_image_f1': 0.3176379176379176}
2026-09-12 06:23:22,743 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.309653812809123 val_image_f1=0.3176379176379176
2026-09-12 06:23:22,743 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 2.86155e-05
2026-09-12 06:24:45,847 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=0.893509
2026-09-12 06:24:50,313 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-12 06:24:50: {'train_loss': 0.893509014366616, 'lr': 2.8615540813938062e-05, 'val_loss': 1.7834895903006531, 'val_accuracy': 0.3460526315789474, 'val_precision': 0.2896218396122632, 'val_recall': 0.2965452847805789, 'val_f1': 0.2798410062488414, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.3211431805319751, 'val_image_recall': 0.32562091503267976, 'val_image_f1': 0.30185006435006434}
2026-09-12 06:24:50,313 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.2798410062488414 val_image_f1=0.30185006435006434
2026-09-12 06:24:50,313 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 2.83331e-05
2026-09-12 06:26:13,200 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.855504
2026-09-12 06:26:17,682 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-12 06:26:17: {'train_loss': 0.8555035331239376, 'lr': 2.8333139190825147e-05, 'val_loss': 1.772826569869106, 'val_accuracy': 0.3398496240601504, 'val_precision': 0.2599470458975295, 'val_recall': 0.292703081232493, 'val_f1': 0.26402280365620023, 'val_image_accuracy': 0.32894736842105265, 'val_image_precision': 0.20551242236024841, 'val_image_recall': 0.28431372549019607, 'val_image_f1': 0.236798418972332}
2026-09-12 06:26:17,682 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.26402280365620023 val_image_f1=0.236798418972332
2026-09-12 06:26:17,682 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 2.80271e-05
2026-09-12 06:27:41,265 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.824512
2026-09-12 06:27:45,750 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-12 06:27:45: {'train_loss': 0.8245123600982535, 'lr': 2.8027116379309633e-05, 'val_loss': 1.8222429789098582, 'val_accuracy': 0.3530075187969925, 'val_precision': 0.291558478773441, 'val_recall': 0.3039178338001868, 'val_f1': 0.28671284177007406, 'val_image_accuracy': 0.34210526315789475, 'val_image_precision': 0.2278985507246377, 'val_image_recall': 0.2973856209150327, 'val_image_f1': 0.25786357786357783}
